category,datetime,headline,id,image,related,source,summary,url
company,1769038200,Why Credit Card Users At Walmart And Target Could Start Paying More,138201339,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"After years of legal back and forth, major retailers may be changing their credit card payment policies and consumers could wind up footing the bill.",https://finnhub.io/api/news?id=e913ef3059819498e8d1133706677cda49a134b937890e3e9c14c8ab1bb4e639
company,1769034480,Dozens of Florida GameStop stores closing. But what about Polk County?,138199579,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"The video game retailer is closing more than 470 stores nationwide, including dozens in Florida. Here's how many are still open in Polk County.",https://finnhub.io/api/news?id=ab98444d39ea4dd17273d4330852eef66118e026435cf45614820eb601e1707b
company,1769034360,The Best Dividend Stocks to Buy and Hold Forever,138199580,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,These stocks can provide protection for your portfolio in any environment.,https://finnhub.io/api/news?id=98b22011496f6e2c6d28a0b32907ace27e0f91cdca57fd0efa32e893f496102f
company,1769031120,Amazon Hits Back at Walmart With a New Megastore. It Won’t Be Easy.,138198878,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"The new concept, still in early development, aims to make it easy for customers to shop for things ranging from groceries and household essentials to general merchandise.",https://finnhub.io/api/news?id=e3759e25d8c9bfea50856f1dd1d9ac62f0c9314b018a2455f0b574da443f0957
company,1769027441,"Impinj (PI) Shares Skyrocket, What You Need To Know",138198927,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Shares of RFID manufacturer Impinj (NASDAQ:PI) jumped 10.1% in the afternoon session after well-known tech investor Dan Niles named the company a top stock to own for 2026, believing it had reached a major turning point.",https://finnhub.io/api/news?id=b0ce81f6e2d710f94a6d35611269b5a1738cce97cb39d9afefd26578221436f5
company,1769025885,The Walmart C-suite reshuffle shows how the retailer sees itself now: As a tech company,138199581,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"The retail giant is bolstering its tech cred with a focus on AI and e-commerce, and a major appointment.",https://finnhub.io/api/news?id=95c7a4ebc7b73ae4d2da6fda960a511cddd9ddd07e1a3be6bde838d79a173f11
company,1769020413,Zipline charts drone delivery expansion with $600M in new funding,138198891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"That geographic expansion in the United States has fueled Zipline’s delivery numbers. In 2024, the company completed 1 million drone deliveries to customers; this week, Zipline said it had surpassed 2 million deliveries.",https://finnhub.io/api/news?id=ab3351655a7f231e4ec252e989d4ad9430fc9a3ebc3681fe64f01563079d10f1
company,1769014020,2 Dividend Stocks to Hold for the Next 20 Years,138197152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"These are ""set it and forget it"" stocks you don't have to overthink.",https://finnhub.io/api/news?id=763ea7931df3f5a3740cc33e0825ebb460f00c216d9c01bca44865707e4344ef
company,1769011471,"Market Chatter: Royal Bank of Canada, Others Set $1.8 Billion Debt Package for Investindustrial's Acquisition of TreeHouse Foods",138196371,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,Banks led by Royal Bank of Canada (RY) are marketing $1.8 billion in loans to support Investindustri,https://finnhub.io/api/news?id=ccd41407d2a7ed3546909917866ea10a3bf29883eaf410c3c93b4cf0ae6111ce
company,1769007000,Best Stock to Buy Right Now: Walmart vs. Costco,138196031,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,Which venerable retailer makes the better long-term investment?,https://finnhub.io/api/news?id=4644e07e20f1849829b7543b28ab7205bbf32d1928c7095c428704e25b75e180
