category,datetime,headline,id,image,related,source,summary,url
company,1769121902,Adobe Systems (ADBE) Beats Stock Market Upswing: What Investors Need to Know,138220311,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Adobe Systems (ADBE) closed the most recent trading day at $299.62, moving +1.83% from the previous trading session.",https://finnhub.io/api/news?id=70bc5c151be413715fb1558304f4d26442043c70648a3e5c416f6c9defe0bc8c
company,1769107800,Is This Beaten-Down Tech Stock a Once-in-a-Decade Opportunity?,138206950,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Artificial intelligence (AI) is threatening to disrupt software companies worldwide, but this one business may have what it takes to survive and thrive in a new AI age.",https://finnhub.io/api/news?id=bfb910bb80f22fcac27e8601b83230ce5e5132d8502754282f4434761af86a1f
company,1769103420,Adobe's Digital Media Revenues Gain Traction: What's the Path Ahead?,138206750,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,ADBE's AI-powered Acrobat and Express tools drove 11% Digital Media revenue growth and over 15% MAU gains in FY25.,https://finnhub.io/api/news?id=c2931f87eb02de63a6dae77485fe3c48f323673baa0c53a375a679c4db13278a
company,1769100081,Adobe Partners With Hollywood Players On Generative AI,138235742,,ADBE,DowJones,Adobe Partners With Hollywood Players On Generative AI,https://finnhub.io/api/news?id=cf42f5a6dd1d74aeaeeb8a8efb1cd4299128b248a05270347115a0aa6c701096
company,1769099820,Adobe Inc. stock outperforms competitors on strong trading day,138235775,,ADBE,MarketWatch,Adobe Inc. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=7bd33d2d6187fa15c18fe899c39e8c870bde201ac54d2dab9d374958a68511ff
company,1769085457,E-Commerce Update - Austrian Market Growth Driven By Innovation And Localization,138203778,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The Austrian B2C e-commerce market is projected to grow steadily at an annual rate of 6.6%, expected to reach $19.22 billion by 2025. This growth is attributed to the increasing focus on mobile-first experiences, alternative delivery solutions, and sustainability initiatives. Despite significant foreign marketplace dominance, domestic retailers are encouraged to differentiate through service innovation and localized offerings to handle ongoing competitive pressures. In 2024, online sales...",https://finnhub.io/api/news?id=e99ba7da1e876f391beaf8ea69994c458272ccf05a38b79afa8cda26a0edf004
company,1769084580,Northern Trust Corporation Reports Fourth Quarter 2025 Financial Results,138203903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"CHICAGO, January 22, 2026--Northern Trust Corporation has released its fourth quarter 2025 financial results. Results can be found at https://www.northerntrust.com/about-us/investor-relations as well as on the corporation's Current Report on Form 8-K filed with the U.S. Securities and Exchange Commission (SEC) on January 22, 2026, which is available on the SEC's website at https://www.sec.gov.",https://finnhub.io/api/news?id=c98f59ea38796162f23817d50334fa756b7d0910443f1afc25bb36de5e5eb075
company,1769082536,Jim Cramer Reveals Why He Might Cancel His Adobe (ADBE) Subscription,138203185,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,We recently published 15 Stocks on Jim Cramer’s Radar. Adobe Inc. (NASDAQ:ADBE) is one of the stocks on Jim Cramer’s radar. Adobe Inc. (NASDAQ:ADBE) is another software firm that has struggled in the age of AI. Its shares are down by 33% over the past year and by 12.5% year-to-date. January has seen several analysts […],https://finnhub.io/api/news?id=5679ab04d56c216f08cb9ffd76d27dc8685ccd3bf279639a812a3e12350d6ef1
company,1769080170,"Software sell-off sparked by AI sets stage for potential big year of M&A, investors say",138205419,https://image.cnbcfm.com/api/v1/image/108254284-1768921600211-sfEp_dX8.jpg?v=1768921696&w=1920&h=1080,ADBE,CNBC,"While much of the tech sector has rallied due to the AI boom, software vendors have been laggards on concern that they'll eventually be displaced. ",https://finnhub.io/api/news?id=72e5b35db3ba055784c61ba0b0a51bf845448ac622316bb6cdbda353cff1a849
company,1769079672,Why 'Cheap' Software Stocks Could Be The Next Big AI Value Trap,138203040,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Enterprise software stocks are starting to look tempting again, at least on a chart. Adobe Inc. (NASDAQ:ADBE) is trading at November 2022 lows and has lost 55% of its value since its February 2024 peak. Salesforce Inc. (NYSE:CRM) sits near May 2024 levels, down about 40% from its January 2025 high. ServiceNow Inc. (NYSE:NOW) is at its lowest since November 2023, off roughly 45% from its January 2025 peak. To many investors, that looks like classic mean reversion. AI hardware stocks like Micron T",https://finnhub.io/api/news?id=dc6c5fed78aaef2544881d71c140d8e8890ff6699e95e77ab9876e13b1c2bd19
