category,datetime,headline,id,image,related,source,summary,url
company,1769124989,"Amazon plans second round of corporate job cuts next week, Reuters reports",138219588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Investing.com -- Amazon.com Inc (NASDAQ:AMZN) is preparing a second wave of corporate layoffs next week as part of an ongoing initiative to trim its global workforce by roughly 30,000 employees. According to reporting from Reuters, the upcoming cuts are expected to mirror the scale of the 14,000 positions eliminated last October. The planned reductions could begin as early as Tuesday, according to Reuters, citing people familiar with the matter who spoke on the condition of anonymity. These move",https://finnhub.io/api/news?id=2ce4aff46fd098d4a78c3e3db2af66da1e3139814ddb1d93236048aa72bd567c
company,1769122895,"Amazon Joins Microsoft In Pledge To Self-Fund Power Grids, While CEO Andy Jassy Questions OpenAI's 'Ambitious' Spending",138219587,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Amazon.com Inc. (NASDAQ:AMZN) CEO Andy Jassy has committed the tech giant to funding its own massive energy needs for artificial intelligence (AI), aligning with a similar pledge from Microsoft Corp. (NASDAQ:MSFT) amidst growing political pressure to protect consumers from rising electricity bills. Self-Funding Commitment Speaking at Davos to CNBC, Jassy addressed concerns that the insatiable energy demands of AI data centers would burden ordinary ratepayers. “We don’t expect other people to pay",https://finnhub.io/api/news?id=eb4618d3f97abd2704c6a96b9400bd8693fd8f5933668e8c669fde8596e4c0f2
company,1769122016,Amazon Gears Up to Ax Thousands More Corporate Employees,138220249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"The company plans to start rolling out the terminations as early as next week, according to people briefed on the situation.  At the time, Amazon signaled that more cuts could come in 2026 as it found “additional places we can remove layers.”  The cuts, conducted in rounds on either side of Amazon’s busy holiday quarter, echo layoffs the Seattle-based company instituted in late 2022 and early 2023 that ultimately snared about 27,000 people.",https://finnhub.io/api/news?id=14ae969ed9bee3e5c11e36715a06c6630e1031294f474e9fe3a8277c3e395b03
company,1769121066,Michael Burry Warns Government Intervention Won't Stop AI Bubble Burst: 'The Problem Is Too Big To Save',138219590,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"‘The Big Short’ investor Michael Burry has issued a dire warning regarding the artificial intelligence (AI) sector, predicting a systemic collapse that not even federal intervention can prevent. Defining The Mania In a scathing post on X, Burry characterized the current AI investment frenzy as a “mania” that is mathematically destined to fail. Burry, famous for betting against the housing market before the 2008 crash, argues that the massive capital expenditures by the world's wealthiest corpora",https://finnhub.io/api/news?id=b4d847ac8a71c0a0997be47dfa115f88846374d7004f206aaf38cbdf766af072
company,1769118241,"Exclusive-Amazon plans thousands more corporate job cuts next week, sources say",138219591,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Amazon is planning a second round of job cuts next week as part of its broader goal of trimming some 30,000 corporate workers, ​according to two people familiar with the matter.  The total this time is expected to be roughly the same ‌as last year and could begin as soon as Tuesday, the people said, who asked not to be identified because they were not authorized to discuss Amazon’s plans.  An Amazon spokesperson declined to comment.",https://finnhub.io/api/news?id=cb9ea7474f1697a763ff7853809636f11d1edda51db6dc03cee563f8569baae6
company,1769117469,Zuckerberg Vs. Musk: Meta's Threads Now More Popular Than X,138213140,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"A new report shows that when it comes to social media usage, an app from Meta Platforms Inc (NASDAQ:META) is seeing strong daily user growth, while X from Elon Musk's xAI is falling behind. Here's the latest in the battle for users on social media. Threads Vs. X: New Winner Emerges For Mobile Use Launched in July 2023 and quickly gaining 100 million sign-ups in five days, Threads from Meta has been called an X killer and an X copycat. Whatever you call Threads, the social media platform is showi",https://finnhub.io/api/news?id=148e54d2632cd06c662a2b0217100bf6da6d18dc2fef639b550f757f070fffcf
company,1769117247,Power Up for a Larger Rally in 1 of 2026’s Winning AI Stocks with a Bull Call Spread,138220247,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,The technicals in this AI infrastructure stock support more upside ahead. How to trade it now.,https://finnhub.io/api/news?id=3c49aee875e2fc33f69d4e3b71e1cf5c8f3c6d591142642044ee7a60bc5350e8
company,1769114862,"Saks' bankruptcy filing creates uncertainty for iconic stores, suppliers and shoppers",138213141,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"An appeal for bankruptcy protection filing of the operator of Saks Fifth Avenue, Bergdorf Goodman and Neiman Marcus has left the luxury department stores' suppliers with unpaid bills and caused a rift with Amazon, one of Saks Global's minority investors.  Saks Global said last week it had secured roughly $1.75 billion to help finance the company toward hoped-for profitability.  While the retailer's stores remain open for now, the bankruptcy and restructuring could likely impact the assortment of designer brands customers find online or in their local Neiman Marcus or Saks, according to industry experts.",https://finnhub.io/api/news?id=1ac8f563d5e7c28a9517e4dd93593f5dc6787fd8ff146fc154d7f9606bc41768
company,1769113878,"New Governors Abigail Spanberger, Mikie Sherrill Congratulated By Brian Armstrong: Coinbase CEO Calls It 'Another Milestone' For Pro-Crypto Advocates",138213142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Coinbase Global Inc. (NASDAQ:COIN) CEO Brian Armstrong celebrated the inaugurations of Abigail Spanberger as Governor of Virginia and Mikie Sherrill as Governor of New Jersey, framing it as a win for pro-cryptocurrency politicians Armstrong Congratulates ‘Pro-Crypto’ Advocates In an X...",https://finnhub.io/api/news?id=de2c777f2ae40ad818e6a06aba42d1d81da1db5e7a6611e18c8a40ab337988b4
company,1769111343,Big Tech Floods Washington With Record Lobbying as Trump Embraces AI Agenda,138206727,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,Tech and AI firms spent $109 million on lobbying in 2025 as the Trump administration aligned policy with industry priorities.,https://finnhub.io/api/news?id=fbe1a4748079a2f2218081b059a1b35d05f861797e19ec09fe26e2ad4fadaef7
company,1769110861,Google DeepMind CEO is ‘surprised’ OpenAI is rushing forward with ads in ChatGPT,138206754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,Google DeepMind CEO Demis Hassabis says the tech giant isn't pressuring him to insert ads into the AI chatbot experience.,https://finnhub.io/api/news?id=92b244c1e21b189d0d7df7dc4aedbb20291b1504adb0174cd98694651412ca71
company,1769110159,Why MercadoLibre Stock Just Popped,138206755,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Is Falabella a cheaper e-commerce stock than MercadoLibre? If you cannot buy Falabella, that may not matter.",https://finnhub.io/api/news?id=ebee39421e8f7dd8f57cee1fc4b4370390d57c200dfaecd201c205326920c7e2
company,1769108743,'He Brings Down Prices' — CNBC's Jim Cramer Pushes Back On Claims That 'The President Makes Investing So Difficult' That 'People Feel Like Giving Up',138206756,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMZN,Yahoo,"Jim Cramer is pushing back against the idea that President Donald Trump is scaring people away from the stock market. In a post on X on Wednesday, the CNBC host acknowledged that many feel discouraged by market conditions but said those emotions may be misplaced. Not All Market Drops Are Bad News, Cramer Says “I know lots of people ALREADY feel like giving up because the President makes investing so difficult,” Cramer wrote. “I disagree. He makes trading hard, but he brings down prices that shou",https://finnhub.io/api/news?id=095d580510f06f206402a5e5ca8759484bda2dd34703db45294fe909381012f3
