category,datetime,headline,id,image,related,source,summary,url
company,1769100780,"Dell Technologies Inc. Cl C stock rises Thursday, outperforms market",138243533,,DELL,MarketWatch,"Dell Technologies Inc. Cl C stock rises Thursday, outperforms market",https://finnhub.io/api/news?id=2df37b87494eafb8eadce4cba5708a11aa5b38949d9951b5e1b50b24a52cbda8
company,1769094840,SMCI's Server and Storage Segmental Revenues Surge: What Lies Ahead?,138205709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Super Micro Computer's server and storage revenues jump 50.2% YoY to $21.31B in fiscal 2025, fueled by AI servers, rack-scale expansion and a $36 billion FY26 outlook.",https://finnhub.io/api/news?id=7fe224d7320fee923323ffd371a633a41d64068eca1d1afc484d72cd2fba2629
company,1769091030,Jim Cramer Says Dell Faces Pricing Pressure From Storage Suppliers,138204595,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Dell Technologies Inc. (NYSE:DELL) is one of the stocks Jim Cramer talked about, along with market froth. Noting that the stock is down more than 30% since its high nearly three months ago, a club member sought Cramer’s thoughts on the stock. He stated: Okay, I like Dell very much. Here’s the problem. They are […]",https://finnhub.io/api/news?id=8672151ae20387cca90f2d0edf48bc0829cac61bb4ada984146d3382b66b0321
company,1769086800,ExaGrid Announces All Flash/SSD Tiered Backup Storage Solution,138203975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"MARLBOROUGH, Mass., January 22, 2026--ExaGrid®, the industry’s only Tiered Backup Storage solution with AI-Powered Retention Time-Lock (RTL) that includes a non-network-facing tier (tiered air gap), Auto Detect & Guard, delayed deletes and immutability for ransomware recovery, today announced that it is shipping an All Flash/SSD backup storage solution with a unique front-end Landing Zone and non-network-facing Repository Tier (tiered air gap) that stores all backup retention using advanced data",https://finnhub.io/api/news?id=671785832777da169167a03134994ac1559b508bd8bf6552f201d66c64828f96
company,1769082543,Super Micro Computer's AI Orders Are There - Delivery Is The Bottleneck (Downgrade),138205090,,DELL,SeekingAlpha,,https://finnhub.io/api/news?id=aaeb843c04052f6651b661a646d42541ba87384a01e4e77c6720edc26ec1b1d2
company,1769080429,"Goldman Sachs Sees a Tough Backdrop for IT Stocks, but Says You Can Still Win with These 3 ‘Strong Buy’ Names",138203129,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Talk about tech these days, and most people will flash directly to AI. But Goldman Sachs analyst Katherine Murphy is digging deeper, uncovering opportunities across IT hardware. The premise is straightforward: hardware still matters, at every layer of the stack. Like any industry, however, IT hardware is contending with real challenges. The sector is still digesting the aftereffects of the 2023 demand trough, when post-pandemic needs were largely pulled forward. Since then, higher tariffs and in",https://finnhub.io/api/news?id=23d1e56a5114258b8f4d7d642eaf6296d6530b4cd5cfec826c339c5dc6b75ea6
company,1769078820,Michael Dell: AI demand is in excess of supply,138205600,https://image.cnbcfm.com/api/v1/image/108255755-17690960531769096051-43628679666-1080pnbcnews.jpg?v=1769096052&w=1920&h=1080,DELL,CNBC,"Michael Dell, founder and CEO of Dell, joins 'Squawk on the Street' to discuss the impacts of artificial intelligence, geopolitics, and more.",https://finnhub.io/api/news?id=8d5d27860ad99de5788446cf176c8fa91aac2908f6232e4468fdec559cd19690
company,1769078224,Sovereign AI partners with Accenture and Palantir on EMEA data centre rollout,138203044,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DELL,Yahoo,"Accenture leads delivery, and Palantir optimises operations as Dell-Nvidia-powered centres target regulated, high-performance AI workloads across EMEA.",https://finnhub.io/api/news?id=5b25bd5212721825750d7e756b70f8341e2a69a0f6d6c6a76441a31e57ccbc9b
company,1769076286,'Super Micro Computer Is Priced For Failure': Why I Disagree,138204282,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2188561320/image_2188561320.jpg?io=getty-c-w1536,DELL,SeekingAlpha,Super Micro Computer offers liquid-cooled AI systems and an 18.7x forward P/E with Nvidia platform ramps and revenue growth. Read why SMCI stock is a strong buy.,https://finnhub.io/api/news?id=feb6bfac8367479b81fda908adeb53170beab853f4d67315e3ade0e5c6703e1b
company,1769072413,Super Micro Computer: I Think It Should Finally Explode On Earnings (Preview),138204169,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2161394236/image_2161394236.jpg?io=getty-c-w1536,DELL,SeekingAlpha,"Super Micro Computer, Inc. is a Buy ahead of Q2 earnings: Nvidia Blackwell backlog and capacity expansion drive growth. Click for this SMCI stock update.",https://finnhub.io/api/news?id=295960fdd05fddfbafaf63488830cdd60d87029bcb0ee56fc91e9c748268c66f
