category,datetime,headline,id,image,related,source,summary,url
company,1769115714,Freeport-McMoRan Inc (FCX) Q4 2025 Earnings Call Highlights: Resilient Performance Amid Challenges,138213406,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"Despite setbacks from the Grasberg incident, Freeport-McMoRan Inc (FCX) showcases strong financial results and strategic growth initiatives for future success.",https://finnhub.io/api/news?id=f725a1cbaad006be0e2696fb494dc09b507c7c09db92a23b3cc45534736c3d45
company,1769105316,Freeport-McMoRan Q4 Earnings Call Highlights,138206981,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,Freeport-McMoRan (NYSE:FCX) executives said the company finished 2025 with results slightly better than its adjusted guidance and highlighted progress restoring operations at Indonesia’s Grasberg complex following a September mudflow event. Management also emphasized near-term growth initiatives in,https://finnhub.io/api/news?id=3e7913b8cef186a5eb819c59d5b56326fcc2e8613a87c570fd1d48f9129c6bc7
company,1769100215,Freeport-McMoRan (FCX) Q4 2025 Earnings Transcript,138205947,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"Earlier this morning, Freeport-McMoRan Inc. reported its fourth quarter and full year 2025 operating and financial results.  Richard will make some opening remarks, Kathleen will review our slide materials, and then we will open up the call for questions.",https://finnhub.io/api/news?id=f93c035ad0fa6cd70968362d3f1b750a661f79294689635515b864b135f45893
company,1769100000,Freeport-McMoRan Inc. stock underperforms Thursday when compared to competitors,138237042,,FCX,MarketWatch,Freeport-McMoRan Inc. stock underperforms Thursday when compared to competitors,https://finnhub.io/api/news?id=7afd33167193d63d4f14a0a97a2c765cc58c31ae519e9c2759a578e038224cf9
company,1769098920,"FCX Q4 Earnings & Revenues Top Estimates, Sales Fall Y/Y on Lower Volumes",138206982,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"FCX posts a 48% Q4 profit jump as copper and gold prices surge, beating EPS estimates despite a 1.5% revenue drop.",https://finnhub.io/api/news?id=f252ea30abfd6da82bb7520c8bcd81fa6a04b5dca35d650b2bb60a1625ff77e4
company,1769097960,Jobless Claims Come in Slightly Higher,138205805,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,Jobless Claims Come in Slightly Higher.,https://finnhub.io/api/news?id=3afa4028a398fac753597492fbd273fabcdf3c9455ce405d8d217a4db0cd5077
company,1769097602,Freeport-McMoRan (FCX) Reports Q4 Earnings: What Key Metrics Have to Say,138205949,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"While the top- and bottom-line numbers for Freeport-McMoRan (FCX) give a sense of how the business performed in the quarter ended December 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=8bdd14127e58b7d6f667a7e401c0664acb74726fbfbf908c5f1a9427e4a401ab
company,1769095740,"Jobless Claims Stay Low at +200K, Q3 GDP Up to +4.4%",138205807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,Weekly Jobless Claims continue to portray a labor market cruising along at a healthy low rate of unemployment claims.,https://finnhub.io/api/news?id=8a6c63f9e896b1891115a5c9e405f04f4203bdd741eb4b10f3f28b91d459820a
company,1769092984,FCX Earnings Beat; 2026 Copper Sales Outlook Trimmed,138204702,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"Freeport-McMoRan blew past fourth-quarter earnings estimates Thursday amid higher copper prices and better-than-expected sales volume.  FCX stock rose in early Thursday stock market action as the copper futures price eased to a three-week low.  ""Freeport is strongly positioned for the future as a leading producer of copper with large scale, geographically diverse operations and an exciting portfolio of growth projects to provide additional supplies of copper to a growing market,"" CEO Kathleen Quirk said in an earnings statement.",https://finnhub.io/api/news?id=b52a0f5e17e6f4fcf7e19497cfc61b42433ece051e1c406fd8f3abcc13af7b7d
company,1769091780,Freeport-McMoRan Stock Falls on Earnings. Rising Copper and Gold Prices Weren’t Enough.,138237043,,FCX,MarketWatch,Freeport-McMoRan Stock Falls on Earnings. Rising Copper and Gold Prices Weren’t Enough.,https://finnhub.io/api/news?id=eb1bb8b24ceadaced3e81c7977cb82708156ce86ad7636e3c82d7ad4eb532018
company,1769091006,Freeport-McMoRan (FCX) Q4 Earnings and Revenues Beat Estimates,138204703,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"Freeport-McMoRan (FCX) delivered earnings and revenue surprises of +67.98% and +8.84%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d9867b24713e2bb5cc1d57c29b5f8bf96cba6e9c4d177d1652ee168a092862b3
company,1769089486,Freeport-McMoRan Inc. (FCX) Q4 2025 Earnings Call Transcript,138206330,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FCX,SeekingAlpha,"Freeport-McMoRan Inc. (FCX) Q4 2025 Earnings Call January 22, 2026 10:00 AM ESTCompany ParticipantsDavid Joint - Vice President of Investor RelationsRichard...",https://finnhub.io/api/news?id=9f042e8ff395621b356f8df4da8f4a2e1a96e0807728909d6e408733adbb3d31
company,1769089080,Freeport-McMoRan Posts Profit Gains Despite Sharply Lower Production,138204704,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"The copper and gold miner said fourth-quarter production was significantly hurt by the ongoing suspension of operations at one of its mines, though higher prices for precious metals helped boost profit.",https://finnhub.io/api/news?id=ac4d3f9671d92df3c9a24cdcfa15d9eddf8ac1e96e2dc2485444f985f38a619c
company,1769087306,Freeport-McMoRan: Q4 Earnings Snapshot,138203921,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,PHOENIX (AP) — Freeport-McMoRan Inc. FCX) on Thursday reported fourth-quarter profit of $406 million. The Phoenix-based company said it had net income of 28 cents per share.,https://finnhub.io/api/news?id=6ca8bc6b50f1ab53a0884263554cc81af7560897318093cac69447ec87496dbf
company,1769086800,Freeport Fourth-Quarter and Year Ended 2025 Financial and Operating Results Release Available on Its Website,138203922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,"PHOENIX, January 22, 2026--Freeport (NYSE: FCX) today announced that it has posted its fourth-quarter and year ended 2025 financial and operating results press release on the Investor Relations page of its website at https://investors.fcx.com/investors/news-releases.",https://finnhub.io/api/news?id=569893adafbb7937cc27bd7926784a21a98705b327a3e161b23043bb8c64f697
company,1769085053,Stocks Gain Pre-Bell Amid Trump's Greenland Tariff Reversal; Investors Await Inflation Data,138203819,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,US equity markets were tracking higher in Thursday's premarket activity after President Donald Trump,https://finnhub.io/api/news?id=525058bd201e2e4ff9a412c5042ab10585c09c4147474f031fc884477a838d55
company,1769078037,Freeport-McMoRan Inc. 2025 Q4 - Results - Earnings Call Presentation,138204430,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FCX,SeekingAlpha,2026-01-22. The following slide deck was published by Freeport-McMoRan Inc.,https://finnhub.io/api/news?id=168abfb13aed0ec4d38ce53442daf972bd02a05cbfd4114f908468259dbda3e2
company,1769077500,Why Outer Space Holds the Key to Transforming Mining Forever in 2026,138203195,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FCX,Yahoo,Cosmic rays from supernovas will help secure the supply of crucial minerals.,https://finnhub.io/api/news?id=efd336d304ae7e6f5731f05b2cc0befb5c263ebf4b4f1efe4b58c6141c979277
company,1769059697,Intel's shares have surged 47% this year. Now come the chipmaker's earnings,138208784,,FCX,MarketWatch,Intel's shares have surged 47% this year. Now come the chipmaker's earnings,https://finnhub.io/api/news?id=3e6e122485cfef7dda2e2a5842d2e081aea0673299b0794cc743b122b00856ac
