category,datetime,headline,id,image,related,source,summary,url
company,1769120580,"In HelloNation, Financial Advisor Brad Ford Shares Insights as Wealth Preservation Expert",138219721,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"When should investors shift their financial focus from growth to preservation? According to Brad Ford of Vineyard Financial, this shift is critical when approaching significant milestones such as retirement or estate planning. In a recently published article in HelloNation, Ford outlines why preservation matters more than growth, emphasizing that protecting existing wealth is often more essential than pursuing aggressive investment growth.",https://finnhub.io/api/news?id=92f7163d8a65decd1143464e25f23b50f4797834a0820797b4449ef897fe3e23
company,1769116172,Ford and GM get US permission to set up banking units,138219708,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"Ford and General Motors have received approval from federal regulators to set up banks, in a sign of the Trump administration’s more permissive...",https://finnhub.io/api/news?id=5f04c90740c1a8b3d20eff1af3dacfcf7f587e6459195018b670f2b912f54c2e
company,1769113730,"Market Chatter: General Motors, Stellantis Near Deal with Union Members, Ford Deal Up for Vote on Sunday",138213448,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,General Motors Company (GM) and Stellantis (STLA) are nearing tentative labor deals with the United,https://finnhub.io/api/news?id=11c01ee8ab1fdfd51be9060c3b4614c9a44c34514fd413ef300bcce442fdd9a8
company,1769103478,Tesla faces Justice Department probe of range claim,138206814,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,The Justice Department is investigating whether Tesla cars can live up to what the EPA’s official estimates of how far they can go on a single charge.,https://finnhub.io/api/news?id=42e49af377d809e6030220b871a5302278669c5a85a66567e20e0744b41f0b48
company,1769100840,Is GM Set for 14th Straight EPS Beat in Q4? How to Play the Stock Now,138206995,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"GM heads into Q4 earnings with rising estimates, a 13-quarter EPS beat streak and valuation upside, even as U.S. deliveries and EV sales cooled in the quarter.",https://finnhub.io/api/news?id=dbde74f4eea95f7c06361cabc9ccc070e308fdbf6615fb4df3b8b22c0b24aa70
company,1769092560,Lucid and Rockwell Strengthen Production Backbone in Saudi Arabia,138205966,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"Lucid deepens ties with Rockwell Automation to scale its Saudi EV plant, boosting real-time control and output.",https://finnhub.io/api/news?id=24012988c09d4a3565324ca696c11e02f37f6d871634cabf76619e3d18ee37c5
company,1769092200,Ford vs. Ferrari: Which Stock Looks More Attractive Right Now?,138205992,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"F stock looks more compelling than RACE, as revenue growth, Ford Pro momentum, EV partnerships and valuation support stronger long-term prospects.",https://finnhub.io/api/news?id=8ede133e8f4ba4ed038377907b6ff5823b30375d2fed9c6cc53b70fa1fe3844b
company,1769090520,FDIC Approves Deposit Insurance Applications Submitted by Ford and GM,138238096,,F,MarketWatch,FDIC Approves Deposit Insurance Applications Submitted by Ford and GM,https://finnhub.io/api/news?id=48c46447bb2c6301c6181faed876968351257a408e21ec61f3c28f535224aef7
company,1769090400,"Ford Motor Company Announces Details for Q4, Full-Year 2025 Earnings Conference Call",138204741,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"DEARBORN, Mich., January 22, 2026--Ford Motor Company and Ford Motor Credit Company will release fourth-quarter and full-year 2025 financial results at 4:05 p.m. ET on Tuesday, Feb. 10.",https://finnhub.io/api/news?id=22256d9b409a5d7ac84937a8df422db57c103819b7d67e072dd7713c9813e906
company,1769088676,"Stellantis CEO says turnaround plan includes new Jeeps, Ram trucks, and return of the Hemi V8",138203932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,Stellantis CEO Antonio Filosa projected an upbeat tone from the floor of the Detroit Auto Show. This despite the fact that the relatively new CEO has much on his plate.,https://finnhub.io/api/news?id=a6289c8bbb3f65ccc6aad8cd3d98f9acc7dfe9308468f31de51331d10f8985ba
company,1769073600,"The Zacks Analyst Blog Highlights Tesla, Ford and General Motors",138203085,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"Tesla heads into Q4 earnings with falling deliveries, shrinking margins and rising competition, prompting caution ahead of its Jan. 28 report.",https://finnhub.io/api/news?id=9a5a85b6dccee27c617f11822f931d3eafca98b8c61a8dd01bd50978e05db451
company,1769047862,Ford’s Shift From EVs to Hybrids and Gas Models Might Change The Case For Investing In Ford (F),138200818,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,F,Yahoo,"In recent months, Ford Motor has reported its best fourth quarter and annual sales since 2019, outpacing the broader auto industry for 10 consecutive months while shifting its U.S. product focus toward gasoline and hybrid vehicles and away from loss-making electric models such as the F-150 Lightning. At the same time, Ford is working to sharpen its brand and operations, from repositioning Lincoln’s headquarters in Detroit to quality-related recalls and dealer-focused digital investments,...",https://finnhub.io/api/news?id=a85de300d0f5ff25d4e7de14733ba5ed920ba860e40af965a63e53e9656dd30b
