category,datetime,headline,id,image,related,source,summary,url
company,1769115637,Northern Trust Corp (NTRS) Q4 2025 Earnings Call Highlights: Strong Financial Performance and ...,138213675,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Northern Trust Corp (NTRS) reports robust earnings growth, strategic advancements, and significant shareholder returns amid challenging market conditions.",https://finnhub.io/api/news?id=90f43d49b7ac9afdff6abb752f5a60d68f68bf508c014820aaf706dc6d08c3cb
company,1769102160,NTRS Q4 Earnings Beat on Y/Y NII & AUM Growth Despite High Costs,138207079,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Northern Trust tops Q4 EPS estimates as higher net interest income, and rising AUC and AUM lift results, though elevated expenses remain a drag.",https://finnhub.io/api/news?id=ca8c03ee72d12b1a1fbc27f9bb189c7d423b6613c89f669d4fe3e8fd6f87a96a
company,1769098218,Northern Trust Q4 Earnings Call Highlights,138206029,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Northern Trust (NASDAQ:NTRS) executives told investors the company exited 2025 with improving financial momentum, citing higher trust fees, record net interest income and continued progress under its “One Northern Trust” strategy. Management also raised several medium-term financial targets and prov",https://finnhub.io/api/news?id=db0f61fd3626f3214bd9ee051f5e7d46e893f8d3522fb5450a56216073058c49
company,1769095890,Northern Trust (NTRS) Q4 2025 Earnings Transcript,138204813,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Michael O’Grady: Thank you, Jennifer.  Let me join in welcoming you to our fourth quarter 2025 earnings call.  Turning to Slide four, in 2025, we made significant progress executing on our One Northern Trust strategy.",https://finnhub.io/api/news?id=e40a487f75d1f1464f775987b1fbe06fbaf069ead44b3dc230f112f806468a1f
company,1769092204,Northern Trust (NTRS) Q4 Earnings: Taking a Look at Key Metrics Versus Estimates,138206030,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"The headline numbers for Northern Trust (NTRS) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=aefc785a0376b0551cfbd6536948db3885b1d57a91b66d4f2e190ab5abc17bf9
company,1769088883,Northern Trust Corporation (NTRS) Q4 2025 Earnings Call Transcript,138206301,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NTRS,SeekingAlpha,"Northern Trust Corporation (NTRS) Q4 2025 Earnings Call January 22, 2026 9:00 AM ESTCompany ParticipantsJennifer Childe - Senior VP & Director of...",https://finnhub.io/api/news?id=aaf21fc565e83c1696b4d7032c91cb0dd202f357fc60c4ebe63ca397432b75db
company,1769088301,Northern Trust Corporation (NTRS) Q4 Earnings and Revenues Beat Estimates,138204814,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Northern Trust (NTRS) delivered earnings and revenue surprises of +13.44% and +2.41%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=678f2455dea0e5475021a1f98a6634321fc097328214b7e0c1ed754cb822a19b
company,1769086649,"Stocks making the biggest moves midday: GE Aerospace, Procter & Gamble, Northern Trust, Meta & more",138226457,https://image.cnbcfm.com/api/v1/image/108167864-1751589378161-gettyimages-2169564388-porzycki-military240903_npxY3.jpeg?v=1769103832&w=1920&h=1080,NTRS,CNBC,Here are some of the stocks making the biggest moves in midday trading.,https://finnhub.io/api/news?id=82235be117356729f4bb65488c57bd0507056b0776295814c9b61858bc3b7ce8
company,1769085552,Northern Trust (NASDAQ:NTRS) Surprises With Q4 CY2025 Sales,138203990,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"Financial services company Northern Trust (NASDAQ:NTRS) beat Wall Street’s revenue expectations in Q4 CY2025, with sales up 8.4% year on year to $2.14 billion. Its GAAP profit of $2.42 per share was 2.8% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=bc20d5136f95d3debd84097645bc189f00055aff58abd1d666dc0805f9a9c6c1
company,1769085053,Stocks Gain Pre-Bell Amid Trump's Greenland Tariff Reversal; Investors Await Inflation Data,138203819,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,US equity markets were tracking higher in Thursday's premarket activity after President Donald Trump,https://finnhub.io/api/news?id=525058bd201e2e4ff9a412c5042ab10585c09c4147474f031fc884477a838d55
company,1769084580,Northern Trust Corporation Reports Fourth Quarter 2025 Financial Results,138203903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTRS,Yahoo,"CHICAGO, January 22, 2026--Northern Trust Corporation has released its fourth quarter 2025 financial results. Results can be found at https://www.northerntrust.com/about-us/investor-relations as well as on the corporation's Current Report on Form 8-K filed with the U.S. Securities and Exchange Commission (SEC) on January 22, 2026, which is available on the SEC's website at https://www.sec.gov.",https://finnhub.io/api/news?id=c98f59ea38796162f23817d50334fa756b7d0910443f1afc25bb36de5e5eb075
company,1769081315,Northern Trust: Strong Stock Markets Continue To Pad Earnings,138204980,,NTRS,SeekingAlpha,,https://finnhub.io/api/news?id=eb9120553a3ddc536c2004b6108ab332f96890d02f0b736cadd5a61d1230428a
company,1769079585,"Northern Trust: Solid Q4, But Valuation Is Too Elevated",138204871,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/882343570/image_882343570.jpg?io=getty-c-w1536,NTRS,SeekingAlpha,"Northern Trust Corporation has rallied 34% over the past year, but valuation now appears stretched relative to peers. Read more about NTRS stock here.",https://finnhub.io/api/news?id=726c22d907b2815dcc1e31afbbb3a3ae25c51ba2915bc766a937ece9d0fd9614
company,1769074334,Northern Trust Corporation 2025 Q4 - Results - Earnings Call Presentation,138204192,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NTRS,SeekingAlpha,2026-01-22. The following slide deck was published by Northern Trust Corporation in conjunction with their 2025 Q4 earnings call.,https://finnhub.io/api/news?id=57c9f19dc11e70ee7e9d84edd87eac322fab771c6ece45e05fa3d15357c085d2
