category,datetime,headline,id,image,related,source,summary,url
company,1769119020,Valero Energy Corporation Increases Regular Cash Dividend on Common Stock,138213507,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,"SAN ANTONIO, January 22, 2026--The Board of Directors of Valero Energy Corporation (NYSE: VLO, ""Valero"") has approved an increase in the company’s regular quarterly cash dividend on common stock, raising it from $1.13 per share to $1.20 per share. The dividend is payable on March 9, 2026, to shareholders of record at the close of business on February 5, 2026. The increase in the dividend raises the annualized cash dividend rate on Valero’s common stock to $4.80 per share.",https://finnhub.io/api/news?id=ab66f0be7e683c5f66d81757491ad5d061e49ba486a3461013c0c7fc0a158714
company,1769107608,Valero and Phillips 66 Buy Venezuelan Crude in Early U.S. Deal,138206872,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,Refiners purchase cargoes from Vitol at $8.50--$9.50 discounts as Washington allows limited Venezuelan oil exports.,https://finnhub.io/api/news?id=29966f02e6015130b76974a90cbb19a2f148dc375f577bf4baabdfab0c2dc7b9
company,1769107054,"Valero, Phillips 66 Jump on Cheap Venezuela Oil",138207015,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,Refiners move fast as U.S. imports reopen,https://finnhub.io/api/news?id=2b34ca8090625b15665701e00f94bf5500fa3831f73ed7b6e68f1486740b1397
company,1769104080,What Lies Ahead for Valero With Prevailing Softness in Crude Price,138207016,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,"VLO stands to gain as crude prices decline, with forecasts indicating stronger refining margins and a stronger balance sheet in a favorable downstream market.",https://finnhub.io/api/news?id=f6e7f2736c435628e92807d94db1a3572ffd878b0c3bf75a5d8430127448b16c
company,1769101500,Valero Energy Raises Quarterly Dividend by 6.2% to $1.20,138239876,,VLO,MarketWatch,Valero Energy Raises Quarterly Dividend by 6.2% to $1.20,https://finnhub.io/api/news?id=c52ccf79081200fe90573a86e7fe6594dcb26bc8d359bc9eb71dc4a723b57995
company,1769094012,Valero Energy (VLO) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,138205986,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,Valero Energy (VLO) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=e753ac94b70625ebcc18781fcf194278d9eb37e2dbf046bb5b7286f4e80e86c2
company,1769069400,Top Oil Companies To Invest In For An Oil Sector Revival,138203599,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2155273281/image_2155273281.jpg?io=getty-c-w1536,VLO,SeekingAlpha,"Oilfield services and refiners face short-term volatility, but structural demand supports a cautiously constructive outlook for 2026. Read more here.",https://finnhub.io/api/news?id=793301b9983a56a853a2b8a6a11419e999e4a2450257907afaf09eb5f596a980
company,1769062213,A Look At Valero Energy (VLO) Valuation As P/E And DCF Send Mixed Signals,138201898,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,"Event context and quick snapshot Valero Energy (VLO) is back on investors’ radar after a recent price move, with the stock closing at $188.19 and showing positive total returns over the past month and past 3 months. See our latest analysis for Valero Energy. The recent 15.1% 1 month share price return and 13.8% year to date share price return sit alongside a 1 year total shareholder return of 43.7% and a 5 year total shareholder return of about 2.8x, which signals strong momentum over both...",https://finnhub.io/api/news?id=b711db05faadc68586997c49efcb443190229f3692b2a0b9cfebf96a764078b3
company,1769058000,Top 10 Dividend Stocks For Uncertain Times,138202582,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2217841231/image_2217841231.jpg?io=getty-c-w1536,VLO,SeekingAlpha,"Investors seeking stability amid market volatility, dividend stocks, including REITs, can offer a steady income. Discover Top 10 Dividend Stocks For 2026.",https://finnhub.io/api/news?id=6e8dbfc6b94d196c64a62677b4bffe7289b7fff5959c871a41bd72e980d2bbcb
company,1769044290,Exclusive-Valero buys Venezuelan oil cargo as part of Washington's deal with Caracas,138200197,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VLO,Yahoo,"By Georgina McCartney and Arathy Somasekhar HOUSTON, Jan 21 (Reuters) - Valero bought a cargo of Venezuelan crude oil, two sources said on Wednesday, the first deal by a U.S.",https://finnhub.io/api/news?id=db2c6992c7fd7f2804edc314c1feeb818d53abe52f32078b8907003b3c234343
