category,datetime,headline,id,image,related,source,summary,url
company,1769202617,Assessing Abbott Laboratories (ABT) Valuation After Q4 2025 Earnings Miss And Softer 2026 Guidance,138229368,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"Abbott Laboratories (ABT) is back in focus after its fourth quarter 2025 earnings, where revenue of US$11.46b missed Wall Street expectations and softer guidance for Q1 2026 triggered a sharp share price reaction. See our latest analysis for Abbott Laboratories. The earnings miss and softer outlook have contributed to a clear loss of momentum, with a 1-day share price decline of 10.04% and a 30-day share price decline of 12.79%. The 1-year total shareholder return decline of 10.20% contrasts...",https://finnhub.io/api/news?id=4b7aab45c50fc1943eaff1ef51e729c6ccc8fa8f0dade427bb5e4435e90f6b63
company,1769188469,"Abbott Laboratories Expects H2 Growth Driven by Product Launches, Nutrition Recovery, RBC Says",138226990,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"Abbott Laboratories (ABT) expects growth to accelerate in the second half of 2026, supported by new",https://finnhub.io/api/news?id=a60a9fb3eb49b271520f4b9552d0e964cedbafaf0312a1ee168f049b8f6246bf
company,1769179240,Abbott expects to return to ‘positive growth’ in nutrition in 2H26,138225702,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"Says Worldwide Nutrition sales decreased 8.9% on a reported basis and 9.1% on an organic basis in the fourth quarter. Results in the quarter reflected the impact of lower sales volumes compared to the prior year and new strategic price actions targeted to increase volume growth in the future. In addition to these strategic price actions, Abbott (ABT) expects to increase volume growth with the launch of several new products in 2026. Claim 50% Off TipRanks PremiumUnlock hedge fund-level data and p",https://finnhub.io/api/news?id=42532a0bdf828052138369e6539e85a9c24a321adba1adc61679761fd85d9938
company,1769177340,The Global Market for Blood Ketone Meters 2026-2031: Wearable Technologies Reshape Diabetes Care,138225703,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"Dublin, Jan. 23, 2026 (GLOBE NEWSWIRE) -- The ""Blood Ketone Meter Market - Global Industry Size, Share, Trends, Opportunity, and Forecast, 2021-2031"" has been added to ResearchAndMarkets.com's offering. The Global Blood Ketone Meter Market is projected to expand from USD 455.18 Million in 2025 to USD 687.33 Million by 2031, progressing at a CAGR of 7.11%. The increasing global prevalence of diabetes mellitus serves as a primary force propelling the Blood Ketone Meter Market, highlighting the nee",https://finnhub.io/api/news?id=f621d4b5ee2d1e9abb72633fbf819f7ae82c143e48fe64126833ab5461de70e8
company,1769174051,"Earnings live: Intel stock drops, Capital One stock falls on Brex acquisition",138224754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"A broader set of sectors will be represented when 35 more S&P 500 companies report earnings this week, including Netflix, Procter & Gamble, and Intel.",https://finnhub.io/api/news?id=e29888e4d3ccba98cd8df727f03a614aef982b34d3bfc9b2cedabb0fde354340
company,1769163131,US Stock Market Today S&P 500 Futures Slip As Higher Rate Pressures Linger,138223450,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"The Morning Bull - US Market Morning Update Friday, Jan, 23 2026 US stock futures are slightly softer this morning, with S&P 500 contracts edging lower by around 0.1%, as investors weigh higher borrowing costs against signs of healthier global growth. The US 10 year Treasury yield is sitting near 4.24%, which means mortgages, credit cards and corporate borrowing remain relatively expensive. At the same time, fresh business surveys from Japan and Germany are above the 50 mark, a level that...",https://finnhub.io/api/news?id=7eda9ce3c09b8332b06668ca7fd81480ada4dbaa650f0ae8d8b674aefdee94c9
company,1769156786,Heard on the Street Thursday Recap: Spice Trade,138222896,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"Markets drifted higher amid uncertainty about next steps for a potential Greenland deal touted by President Trump.  The Nasdaq composite gained 0.9% and the Dow Jones Industrial Average added 306 points, or 0.6%.  The Federal Reserve's preferred inflation measure held steady.",https://finnhub.io/api/news?id=a2b62d2f126cd63cf3107fdd94c09e8bf7f9928cd79048e7a2779c598eec2fba
company,1769153100,Abbott Laboratories: Buy This Dividend King On Sale Now,138223731,,ABT,SeekingAlpha,,https://finnhub.io/api/news?id=35c4291eabe5c8138747d714bd0a92bdde142c7fb97212f28cb6dc3a8f0cecf0
company,1769149800,"AbbVie Dodged a Patent Disaster, and Shares Gained 460%. Merck and Bristol Myers Are Next.",138222072,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,"AbbVie extended the patent life on Humira for years, enough time to more than replace the sales. Now Merck and Bristol Myers Squibb face similar patent cliffs.",https://finnhub.io/api/news?id=7f99158813c633d0e2153683ce19bb53378d72df1f24fbd52fc9338223c80772
company,1769146386,ABT Q4 Deep Dive: Nutrition Weakness and Innovation Shape 2026 Outlook,138222897,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABT,Yahoo,Healthcare product and device company Abbott Laboratories (NYSE:ABT) missed Wall Street’s revenue expectations in Q4 CY2025 as sales rose 4.4% year on year to $11.46 billion. Its non-GAAP profit of $1.50 per share was in line with analysts’ consensus estimates.,https://finnhub.io/api/news?id=bef48ddd426cd666a336b424f4b1f975b9740a0010050de0524ac59a3ebfdf0c
