category,datetime,headline,id,image,related,source,summary,url
company,1769207803,"Stock Market Today, Jan. 23: Intel Plunges After Weak Outlook Highlights Supply Constraints and Foundry Losses",138229888,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"Today, Jan. 23, 2026, investors are weighing whether Intel’s supply snags and foundry losses threaten its AI data-center ambitions.",https://finnhub.io/api/news?id=c35055a7d25a5713e799144995e7f30d508b5b664f8d980bfc672c1cc1ebbe51
company,1769203500,Cathie Wood Thinks AMD Will Challenge Nvidia This Year,138229237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Should investors be wary of AMD's cheaper data center GPUs?,https://finnhub.io/api/news?id=ca542f4ec8ae76a5062178613e31d7f2409bdee9ba2c53df8c3f4b68650c0c08
company,1769200189,Intel stock plunges as hopes for a 'clean' turnaround story meet reality,138229242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Intel stock plunged on Friday following the chipmaker's disappointing first quarter outlook.,https://finnhub.io/api/news?id=22289cde484079c9de11120533beb8cf2274b944672e86176e05388f34dde584
company,1769194372,Stock Market Today: Dow Dives 350 Points; Applied Digital Soars On Mystery Factory News (Live Coverage),138228379,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,The Dow Jones index sinks Friday. Applied Digital surges on AI factory news while a rocket stock takes off.,https://finnhub.io/api/news?id=6609b68a203b0f211a6068f72da25b91949a7013c2f542a2051c265ee313fc69
company,1769191623,Why Is Advanced Micro Devices Stock Climbing Today,138228464,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Advanced Micro Devices Gains. Strong AI and Gaming Demand Supports Growth,https://finnhub.io/api/news?id=0e95ad3289f42d56d7dac2a150b7d7a5af7dfaa2a28f5c31e89342421237238d
company,1769189700,Why Advanced Micro Devices Could Be This Year's Best Value Play,138226932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,Is AMD still in the early stages of benefiting from artificial intelligence (AI) tailwinds?,https://finnhub.io/api/news?id=34810de593b374f8481640fb635702d82fbea39097c396e69c4630b6e61a52e7
company,1769189612,Tata Consultancy Services Announces Strategic Collaboration with Advanced Micro Devices (AMD),138226933,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,"Advanced Micro Devices, Inc. (NASDAQ:AMD) is one of the Best Quantum Computing Stocks to Buy for 2026. On January 14, Indian company Tata Consultancy Services announced a strategic collaboration with Advanced Micro Devices, Inc. (NASDAQ:AMD) to support companies in scaling AI adoption from pilots to production, modernizing legacy environments, and building secure and high-performance digital […]",https://finnhub.io/api/news?id=780c42134d314d47810f2519507e8e13e84ed8d9775087aef114a08c06b79d97
company,1769189098,"Stock Market Today: Dow Slumps 250 Points, But Nasdaq Shrugs Off Intel Tumble, Turns Higher (Live Coverage)",138226852,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,The Dow Jones index dropped Friday following two days of gains from the Greenland deal rally. Intel plunged on earnings.,https://finnhub.io/api/news?id=83a004b1befd7ef25172d9501a34432f11e0feb1c6c4d1979a2a93d6c6aff1e6
company,1769188722,AMD Rises on Ryzen 7 9850X3D Price and Launch Reveal,138226935,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMD,Yahoo,New gaming processor to debut Jan. 29 at $499.,https://finnhub.io/api/news?id=8ade38c983cf9b4a6441858b4719a2b430d461b801943ba669c60a60e62a4a11
company,1769187780,"These Stocks Are Today’s Movers: Intel, AMD, Capital One, Booz Allen, BitGo, Fortinet, and More",138232810,,AMD,MarketWatch,"These Stocks Are Today’s Movers: Intel, AMD, Capital One, Booz Allen, BitGo, Fortinet, and More",https://finnhub.io/api/news?id=9adcb0dcc98c1cd4bea70ab2f068ee3c1c058f66b7eaf70b5b3f0895ba6eb471
