category,datetime,headline,id,image,related,source,summary,url
company,1769204976,"Stocks to Watch Friday Recap: Intel, Capital One, CSX, Booz Allen",138229360,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"↘️ Intel (INTC): The chip maker swung to a bigger-than-expected loss and forecast more losses this quarter. Shares slid 17%. ↗️ Booz Allen Hamilton (BAH): The consultancy raised its annual profit outlook, prompting a 6.",https://finnhub.io/api/news?id=3baf3eb3849481745b9452fb1d82822541c5bdb7a0274273749dc4e30e2700f9
company,1769184720,CSX Stock Rises After Earnings Miss Estimates. It’s the Outlook.,138235327,,CSX,MarketWatch,CSX Stock Rises After Earnings Miss Estimates. It’s the Outlook.,https://finnhub.io/api/news?id=1468c447660ba646c6326d1fb19a594882531a6d962659bf34eb5b8ec5b1b46e
company,1769180233,Stocks Pressured by Weakness in Chip Makers,138227001,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.23%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is down -0.56%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.32%. March E-mini S&P futures (ESH26 ) are down -0.20%, and March E-mini Nasdaq futures...",https://finnhub.io/api/news?id=eabe6760841a64a14732e6b6192f89f85068621214a8007bf6eed944428f2848
company,1769175960,"CSX Q4 Earnings & Revenues Lag Estimates, Both Down Year Over Year",138225807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,CSX posts a 7% EPS drop in fourth-quarter 2025 as weak shipping demand and rising costs drag earnings and revenues below estimates.,https://finnhub.io/api/news?id=bb42061320b47e06331af852571678ca4966d1a961171ad43dc3335d84468515
company,1769174532,"CSX Corporation Q4: Lackluster End To The Year, But 2026 Looks To Be Better",138227424,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1412252568/image_1412252568.jpg?io=getty-c-w1536,CSX,SeekingAlpha,"CSX Corporation delivered a flat Q4 and 2025, with revenue at $3.51B and subdued growth outlook. Learn more about CSX stock here.",https://finnhub.io/api/news?id=6b3be74b9375fac575e5329cfa5328a3d96dd36c5bdc3a0b3704e4717104cfc0
company,1769170525,"Stocks Fall Pre-Bell as Traders Parse Economic Data, Intel's Quarterly Results",138224734,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,The main US stock measures were pointing lower before the opening bell Friday as traders digest the,https://finnhub.io/api/news?id=5f84b30d7bcf4a0e5b2ce9eea960e7074ca75fd80168146ecce8f576c671e9a5
company,1769166360,"These Stocks Are Today’s Movers: Intel, AMD, Tesla, Spotify, Capital One, Intuitive Surgical, CSX, and More",138224712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Intel shares plummet following disappointing guidance, while rival AMD could snap an eight-day winning streak.",https://finnhub.io/api/news?id=8c01f50943270adfe57cdf49bae39962775e5f7fb800312b8c10da2bd415bd66
company,1769166316,The Bull Case For CSX (CSX) Could Change Following Profit Dip Amid Buybacks And Layoffs,138223519,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX Corporation has reported past fourth-quarter 2025 results showing sales of US$3,508 million and net income of US$720 million, both slightly lower than the prior year, with earnings per share edging up to US$0.39 as management cited weak freight demand and severance costs. Alongside a full-year profit decline and cautious outlook, CSX completed a multi-year buyback of 115,606,688 shares for about US$3.79 billion while implementing layoffs and other cost-cutting measures. We’ll now examine...",https://finnhub.io/api/news?id=2ade10a92ee6f14011c91d26497c5e7dcba055a4a17c8bc8565f5269b0e8ae74
company,1769160883,"Stocks to Watch Friday: Intel, Capital One, CSX",138222878,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,↘️ Intel (INTC): The chip maker swung to a bigger-than-expected loss and forecast more losses this quarter. It said it hadn’t adequately anticipated demand from AI data centers. Shares slid more than 12% in premarket trading.,https://finnhub.io/api/news?id=640775e2b77e5f696cd3af0a1eb0efcfdb04ff25565c30e2ec7598b30efc1d89
company,1769152421,Is It Time To Reassess CSX (CSX) After Recent Rail Infrastructure Focus?,138222107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"If you are wondering whether CSX is priced attractively today, you are not alone. Many investors are asking if the current share price still lines up with the underlying value of the business. CSX shares last closed at US$35.78, with returns of a 1.4% decline over 7 days, a 2.2% decline over 30 days, a 1.4% decline year to date, 8.0% over 1 year, 24.0% over 3 years and 32.4% over 5 years, which gives you a mixed picture of recent and longer term performance. Recent news around CSX has...",https://finnhub.io/api/news?id=148447e7d5717cc9605e069cb9dd27c722959b4b84ed2ac40862f4289311a105
company,1769146437,CSX Q4 Deep Dive: Cost Initiatives and Intermodal Growth Underpin 2026 Outlook,138222929,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Freight rail services provider CSX (NASDAQ:CSX) missed Wall Street’s revenue expectations in Q4 CY2025, with sales flat year on year at $3.51 billion. Its non-GAAP profit of $0.39 per share was 5.3% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=991f90edd5acff8bfa19cd9a5f80c4d4044b9198e83fde72d15affc9434a2290
company,1769144509,CSX Corp (CSX) Q4 2025 Earnings Call Highlights: Navigating Challenges with Strategic Growth ...,138221475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Despite a decline in revenue and earnings, CSX Corp (CSX) focuses on efficiency and infrastructure opportunities to drive future growth.",https://finnhub.io/api/news?id=a480654683704d0925151ce4f7e05ef3b1fb6dfa9b5ecd3b8b2f3e463b4d5758
company,1769133797,"CSX sees small drop in revenue, slight gain in volume",138220909,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Fourth-quarter profits at CSX were negatively affected by continued freight weakness, which the railroad anticipates will persist. The post CSX sees small drop in revenue, slight gain in volume appeared first on FreightWaves.",https://finnhub.io/api/news?id=9d151364292458e32157aad3447413715aaf05ad1a14b2bdfa668e569f86697a
company,1769126403,Here's What Key Metrics Tell Us About CSX (CSX) Q4 Earnings,138220329,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"Although the revenue and EPS for CSX (CSX) give a sense of how its business performed in the quarter ended December 2025, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=d0aadc116eb1596f06e26be6d28a518959205d5b2a0c270d9fcc9bda189b8dba
