category,datetime,headline,id,image,related,source,summary,url
company,1769209200,China Built a Vast Oil Stake in Venezuela. Now It Risks Getting Muscled Out.,138283178,,CVX,DowJones,China Built a Vast Oil Stake in Venezuela. Now It Risks Getting Muscled Out.,https://finnhub.io/api/news?id=99f23079dfcc7d9b16c585190a1cfb9ca40fd7c7c7143d88cbe8353505054baf
company,1769204976,"Stocks to Watch Friday Recap: Intel, Capital One, CSX, Booz Allen",138229360,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"↘️ Intel (INTC): The chip maker swung to a bigger-than-expected loss and forecast more losses this quarter. Shares slid 17%. ↗️ Booz Allen Hamilton (BAH): The consultancy raised its annual profit outlook, prompting a 6.",https://finnhub.io/api/news?id=3baf3eb3849481745b9452fb1d82822541c5bdb7a0274273749dc4e30e2700f9
company,1769204136,"Earnings live: Intel stock plunges, with more Big Tech earnings from Apple, Microsoft, and Tesla ahead",138229245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"The fourth quarter earnings season kicks into high gear in the week ahead, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=1bb4634df98fad0a4b4c757c616ce6f3410f389b642f3d496be049c7978eb4f3
company,1769198412,"Fed Meeting, Apple, Microsoft Earnings: What to Watch Next Week",138229248,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"It's shaping up to be a busy week ahead. Earnings season is in full throttle, with results expected from the likes of UnitedHealth, Chevron and Boeing. A trio of tech giants—Apple, Meta Platforms and Microsoft—will also report earnings.",https://finnhub.io/api/news?id=d411c54bb136955e3b0912346ce4a60800259e0b4c19b559cd44fd45a3e278c8
company,1769193360,SLB Readies Rapid Expansion in Venezuela,138229314,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"SLB logged higher fourth-quarter revenue and said some of the challenges it faced last year are behind it, as it stands to benefit from increasing international activity.",https://finnhub.io/api/news?id=2cbd23e4deab6a82c7d666f4af87249f70158b55b27789b2c29340096c431df7
company,1769190591,S&P 500 Oilfield Service Giant SLB Beats Earnings. 'We Are Ready' For Venezuela.,138238320,,CVX,DowJones,S&P 500 Oilfield Service Giant SLB Beats Earnings. 'We Are Ready' For Venezuela.,https://finnhub.io/api/news?id=60293843561885aeddca4aa0c7c7ebf177ad0901b1f2356ee9e10767acfabc09
company,1769184232,"Hess Midstream: K-1-Free 8.8% Dividend Is Hard To Ignore, Yet Watch The Risks",138229087,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483054948/image_1483054948.jpg?io=getty-c-w1536,CVX,SeekingAlpha,"Hess Midstream LP offers an attractive 8.8% yield with a C-corp structure, minimizing tax complexity for investors. Learn more about HESM stock here.",https://finnhub.io/api/news?id=f0e55385fbccd2f9d1572ad35ab46e47f715b16ff0caa2900a44645ae9be8ab5
company,1769183279,Best Dividend Stocks to Buy in 2026,138226945,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"2025 wasn’t the easiest for investors. While having to navigate through the tariff uncertainty, investors also saw major ups and downs in the stock market. It is expected that the market will keep the momentum this year, but you need to be careful when it comes to building a portfolio. Instead of chasing a quick ... Best Dividend Stocks to Buy in 2026",https://finnhub.io/api/news?id=47fd040fcfac80f4c0bb9c78b9789d044297bd3ccb7a5e854d67b10cc657e5bf
company,1769180408,Earnings Preview: Chevron (CVX) Q4 Earnings Expected to Decline,138226950,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,Chevron (CVX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=cb80a7f14e0beab6c13836e12b20d76820681783e554d6c25ef31084537ea8ed
company,1769160883,"Stocks to Watch Friday: Intel, Capital One, CSX",138222878,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,↘️ Intel (INTC): The chip maker swung to a bigger-than-expected loss and forecast more losses this quarter. It said it hadn’t adequately anticipated demand from AI data centers. Shares slid more than 12% in premarket trading.,https://finnhub.io/api/news?id=640775e2b77e5f696cd3af0a1eb0efcfdb04ff25565c30e2ec7598b30efc1d89
