category,datetime,headline,id,image,related,source,summary,url
company,1769208302,Walt Disney (DIS) Stock Sinks As Market Gains: What You Should Know,138230604,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Walt Disney (DIS) closed at $110.98 in the latest trading session, marking a -1.97% move from the prior day.",https://finnhub.io/api/news?id=788ee51526b76d3957f7a61bc591df1878374c1837b55ae04c148b10eecf1cc0
company,1769206234,Former TikTok CEO Mayer on US Deal: 'It's About Time',138229936,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Kevin Mayer, Candle Media co-CEO and former TikTok CEO, reacts to TikTok's deal to avoid a nationwide ban in the US. Speaking on ""Bloomberg The Close,"" Mayer also discusses the future of the app, who he thinks should lead Walt Disney Co. and the Warner Bros. Discovery saga.",https://finnhub.io/api/news?id=504b4ea15c958bcffd69dc5287272e8647d402eea2907eb7b35a2a3e85419e29
company,1769195180,Walt Disney's (NYSE:DIS) Dividend Will Be $0.75,138228515,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,The Walt Disney Company ( NYSE:DIS ) will pay a dividend of $0.75 on the 22nd of July. This makes the dividend yield...,https://finnhub.io/api/news?id=3a83818a396aa25bd6052a2ef04869ec0eae132573c47a4ca576fda4f5391352
company,1769193180,Some Super Wealthy Just Want to Be Taxed. Others Are Pushing Back.,138228516,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,About 400 millionaires called on world leaders at Davos to combat extreme wealth and inequality with taxes on the very rich,https://finnhub.io/api/news?id=9aacf1c68a270f7318cf36b4269c9ad7b72c35968071bee0e37eeb0bc1dd6b42
company,1769189880,How Theme Parks Turned Nostalgia Into Historical Landmarks,138228517,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Amusement parks flourished after World War II, as the economy grew and families needed child-friendly entertainment.",https://finnhub.io/api/news?id=38fbc792188cbc8f5a2d64442b8aba06d2e136a08a4ed22d4b6449cd1e8854ae
company,1769187120,Will Disney's Experiences Investments Pay Off Over the Long Term?,138228518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"DIS is pouring capital into Experiences, with cruise ships, new parks and pricing power driving long-term growth despite near-term margin pressure.",https://finnhub.io/api/news?id=11e92ec87e35e270e533eb2ca747a5d3269dd2fde9a16dde6ae58d73d2d16165
company,1769183441,"TikTok-like microdramas are going to make billions this year, even though they kind of suck",138226993,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,The business model behind these apps replicates the same dark patterns as mobile games.,https://finnhub.io/api/news?id=50b975b08be49369128f5c85fd3768b6f291484a4dd8a8de6c3613856e47be86
company,1769180400,"HCI Announces SPARK HR 2026 in St. Pete Beach, FL on April 28-30, 2026: A Transformative Conference on Employee Experience, Leadership & the Future of Work",138225674,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"The Human Capital Institute (HCI) is proud to announce SPARK HR 2026, a premier HR leadership conference taking place April 28–30, 2026, at the TradeWinds Resort in St. Pete Beach, Florida.",https://finnhub.io/api/news?id=b20dbd91f0add239eb0e8edd1186340a747c516feb25b5250e9ff303bf7aa977
company,1769177878,"PENN Entertainment: The Market Gave Up, But Maybe Too Early",138228053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2186076611/image_2186076611.jpg?io=getty-c-w1536,DIS,SeekingAlpha,"PENN Entertainment's missteps with its digital strategy, including the failed ESPN partnership, caught Wall Street's attention. Read my analysis of PENN stock.",https://finnhub.io/api/news?id=c3a54ebac07ba65c84253fb74eef40ab1a41c07d18a313f7518d81336b74ce3d
company,1769177520,"Dow's 284-point drop led by losses for shares of Goldman Sachs, Caterpillar",138232451,,DIS,MarketWatch,"Dow's 284-point drop led by losses for shares of Goldman Sachs, Caterpillar",https://finnhub.io/api/news?id=fe43dfc641f43739873e25c337c0fe9c951744a13a56f505ccdfef1ced48cae6
