category,datetime,headline,id,image,related,source,summary,url
company,1769208304,Starbucks (SBUX) Outpaces Stock Market Gains: What You Should Know,138229966,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Starbucks (SBUX) reached $97.62 at the closing of the latest trading day, reflecting a +1.87% change compared to its last close.",https://finnhub.io/api/news?id=9413fabf23701fe2f07a4e37b2af094129fe1cf6f74584f6cc51319c672de9af
company,1769206154,Is Starbucks (SBUX) Pricing Justified After Recent Share Price Rebound?,138229967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Wondering if Starbucks at around US$95.83 is a fair deal today or if the price is asking too much for the brand you know so well? This article walks through what the numbers say about value. The stock has returned 2.7% over the last 7 days, 14.3% over the last 30 days and 14.1% year to date, while the 1 year return is 0.4%, the 3 year return is negative 5.2% and the 5 year return is 9.3%. Recent attention on Starbucks has focused on how its global brand and store footprint fit into...",https://finnhub.io/api/news?id=d658548808549375ecf78b4b6b7469332f1d2c3e43620a2fef8c1987dd1ffca4
company,1769204136,"Earnings live: Intel stock plunges, with more Big Tech earnings from Apple, Microsoft, and Tesla ahead",138229245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"The fourth quarter earnings season kicks into high gear in the week ahead, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=1bb4634df98fad0a4b4c757c616ce6f3410f389b642f3d496be049c7978eb4f3
company,1769194200,"Cramer’s week ahead: Earnings from Meta, Microsoft and Apple. Plus, a Fed meeting",138246442,https://image.cnbcfm.com/api/v1/image/107113452-NUP_198430_00216r.jpg?v=1697496575&w=1920&h=1080,SBUX,CNBC,Cramer on Friday also named which stocks investors should consider buying after earnings. ,https://finnhub.io/api/news?id=c59ce71c1eeed600c3f34b51128db326f587914f96142bdb89ab4899ce971864
company,1769186220,Starbucks Corp. stock outperforms competitors on strong trading day,138236273,,SBUX,MarketWatch,Starbucks Corp. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=0f4ebf47bb8d24798485a5a2d052a835eace6156d5cb553d61dd37060870fb5a
company,1769183127,"Caterpillar, e.l.f. Beauty, Starbucks: Top Analyst Calls",138225661,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Yahoo Finance Senior Reporter Brooke DiPalma keeps track of several Wall Street analyst calls on top trending stocks, including calls around shares of Caterpillar (CAT), e.l.f. Beauty (ELF), and Starbucks (SBUX). To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=e48c6b1c1c3b211cb8ccb2747cf67a10990334b871460074bd726dc0c13e1478
company,1769177704,Ahead of Starbucks (SBUX) Q1 Earnings: Get Ready With Wall Street Estimates for Key Metrics,138225758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Beyond analysts' top-and-bottom-line estimates for Starbucks (SBUX), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended December 2025.",https://finnhub.io/api/news?id=82ba0dadc9c8995d85cb90417f01b9ade3d0d09fc0a42b0bc5ab3cb472a5410f
company,1769176200,"Should You Buy, Sell or Hold SBUX Stock Before Q1 Earnings Release?",138225698,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Starbucks heads into Q1 earnings with stabilizing traffic and rising sales, but declining EPS, high costs and premium valuation cloud the near-term outlook.",https://finnhub.io/api/news?id=62399900e2b73076a8c776385346b0d07ad0bb6a896d48feeb5bc6aacdb54767
company,1769158407,Jim Cramer's top 10 things to watch in the stock market Friday,138226380,https://image.cnbcfm.com/api/v1/image/108254809-1768998267409-gettyimages-2256812762-AFP_93GN3UY.jpeg?v=1768998291&w=1920&h=1080,SBUX,CNBC,Stocks pointed to a lower open after the major U.S. averages posted back-to-back gains.,https://finnhub.io/api/news?id=d64346149825a6a02b769e0806916738a3f9f90077d78babeb5a69e7b656ca14
company,1769152603,What Starbucks (SBUX)'s 2026 Investor Day Overhaul Means For Shareholders,138222094,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Starbucks is preparing to unveil its long-term growth strategy at its 2026 Investor Day, as new CEO Brian Niccol rolls out initiatives such as coffeehouse coaches and a renewed focus on store-level experience to address slowing traffic and competitive pressures. While the company faces headwinds in China and fresh competition from fast-growing chains like Dutch Bros, investors and analysts are increasingly focused on how leadership-driven changes could reshape Starbucks’ global coffeehouse...",https://finnhub.io/api/news?id=0623c0cd1f774a1838575134770997bdb0e80fa952efddc472d40f590dab4840
company,1769139326,Q3 Rundown: Starbucks (NASDAQ:SBUX) Vs Other Traditional Fast Food Stocks,138229411,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Looking back on traditional fast food stocks’ Q3 earnings, we examine this quarter’s best and worst performers, including Starbucks (NASDAQ:SBUX) and its peers.",https://finnhub.io/api/news?id=3c24461076363b36bcaecf434d1112dc93b11305236601ef5353ee09105c57c0
