category,datetime,headline,id,image,related,source,summary,url
company,1769455810,"Lightning Round: I'm staying away from Pure Storage, says Jim Cramer",138272061,https://image.cnbcfm.com/api/v1/image/108257313-2ED3-MM-E-BLOCK-012626.jpg?v=1769472884&w=1920&h=1080,APP,CNBC,"'Mad Money' host Jim Cramer weighs in on stocks including: Pure Storage, Navigator Holdings, Applovin, and more.",https://finnhub.io/api/news?id=11073d853618090b152f6d841baf777c3abc36e9f844f2c506aef8c81c1f4155
company,1769455200,"AppLovin Stock Is Climbing. The Ad Platform Won Some Big Clients, Analyst Says.",138264861,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,Needham & Company upgraded AppLovin stock to Buy from Hold and set a $700 price target in a research note Monday.,https://finnhub.io/api/news?id=856b14a7cfed47beb971909dfdfe9978323099d190926580fac13eea7f933717
company,1769443262,Turning Geopolitical Noise Into Opportunity: 3 Buy-The-Dip Stocks,138264692,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2226976388/image_2226976388.jpg?io=getty-c-w1536,APP,SeekingAlpha,Geopolitical uncertainty and headline noise have created opportunities to buy growth stocks on a dip. Click here and see the top stocks.,https://finnhub.io/api/news?id=ea6c633302d88b72ebddbad01bcce5726671ff3d16676b42b564ba1259da38d3
company,1769439900,Wall Street Lunch: The Biggest Restaurant Chain Hits The States,138264477,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2204949632/image_2204949632.jpg?io=getty-c-w1536,APP,SeekingAlpha,China's Mixue Ice Cream & Tea comes ot the USA. AppLovin snags an upgrade. Morgan's Stanley's big calls.,https://finnhub.io/api/news?id=09f061f86c68a6b6cabe37a1215a7b3470e141257d65a4ae5a378d90372fb2c4
company,1769439108,"Needham upgrades AppLovin, sees stronger e-commerce growth and ‘potential upside’",138262143,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"Investing.com -- AppLovin was upgraded to Buy at Needham & Company on Monday, with analysts citing growing confidence in the company’s e-commerce trajectory for 2026 as the stock trades well below last month’s highs.",https://finnhub.io/api/news?id=5d96f3a0f7dd4fdbb436d9033e19ad45f8754ee69c90dc72d85e23fe8e96b96b
company,1769439018,"Netflix, Meta upgraded: Wall Street's top analyst calls",138261973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"Netflix, Meta upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b7c7f8f1c672b9e1bfac10a20ebdea6b0bfa28863ca83ff14532f5754e7d6fe7
company,1769433443,"Here Are Monday’s Top Wall Street Analyst Research Calls: Amazon.com, AppLovin, Cisco Systems, Cognizant Technology, Dutch Bros., Meta Platforms, Netflix, and More",138261993,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"Pre-Market Stock Futures: Futures are trading flat as we get ready to start the new trading week, and despite a strong rebound last Wednesday through Friday, we still ended with our second straight losing week. As the smoke cleared from the Greenland turmoil and no new tariffs were imposed on Europe, investors renewed scrutiny of ... Here Are Monday’s Top Wall Street Analyst Research Calls: Amazon.com, AppLovin, Cisco Systems, Cognizant Technology, Dutch Bros., Meta Platforms, Netflix, and More",https://finnhub.io/api/news?id=6cb5826553cb59d2a602f22a6fe7a33363d50f6e9c3c8024ef8de0bb6552fcaf
company,1769432635,"Calls of the Day: Wynn, Cummins, Boston Scientific, Applovin and Monster Beverage",138272062,https://image.cnbcfm.com/api/v1/image/108257125-17694495441769449542-43697148789-1080pnbcnews.jpg?v=1769449543&w=1920&h=1080,APP,CNBC,The Investment Committee debate the latest Calls of the Day.,https://finnhub.io/api/news?id=b55f9a76587737c49f6a850efbaf117547ca62acba92a142aa265272c30940be
company,1769431506,"Stocks making the biggest moves midday: GameStop, Booz Allen, CVR Energy, CoreWeave & more ",138263177,https://image.cnbcfm.com/api/v1/image/108154723-1749061631145-gettyimages-2217971100-NINTENDO_SWITCH_2.jpeg?v=1769449222&w=1920&h=1080,APP,CNBC,These are some of the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=87630a2f11451559188dc20add685718311c3f6fc04bce651c5a4ce3efe2aae5
company,1769413142,"Stocks making the biggest moves premarket: USA Rare Earth, Allied Gold, CoreWeave, Enphase & more",138262943,https://image.cnbcfm.com/api/v1/image/108254609-1768945222387-gettyimages-2257279027-_75a8991_kdnqvbms.jpeg?v=1768945288&w=1920&h=1080,APP,CNBC,These are the stocks posting the largest moves before the bell.,https://finnhub.io/api/news?id=f2fc4e0263699f89a0e5fa01632aedc7c27526409eb6b8f273475754a9af6941
company,1769409780,This Controversial AI Stock Could Shock Investors in 2026,138259168,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,AppLovin could be set up for another strong year.,https://finnhub.io/api/news?id=8797ccf0950f430bb9c8d7f2a7ed5cfccc0c46ae8dae3237b0a8083f4560c2cb
