category,datetime,headline,id,image,related,source,summary,url
company,1769465220,Energy & Utilities Roundup: Market Talk,138265507,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Gain insight on oil prices, Baker Hughes and more in the latest Market Talks covering energy and utilities.",https://finnhub.io/api/news?id=95c2cac5733f7e5f98ebffd79edb35fc9fe3e4e188f9e09544ea192f96de432b
company,1769462568,"How major US stock indexes fared Monday, 1/26/2026",138264976,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"U.S. stock indexes ticked higher, while other markets made louder moves, including another record-breaking rush for the price of gold. The S&P 500 rose 0.5% Monday and won back its losses from last week's dip. The Dow Jones Industrial Average added 0.6%, and the Nasdaq composite gained 0.4%.",https://finnhub.io/api/news?id=921d14982aa3072f957f4e52febba956fc20db81f215ec849ad5c9c79b6c871f
company,1769461248,Baker Hughes Co (BKR) Q4 2025 Earnings Call Highlights: Record EBITDA and Strategic Growth ...,138264977,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,Baker Hughes Co (BKR) reports a record full-year adjusted EBITDA and outlines strategic growth plans amid market challenges.,https://finnhub.io/api/news?id=a650c91055caa9bfd94f0fbe0099dffa78006d93e46922cb76d0513109c4b4cb
company,1769440801,Stock Market Today: Dow Rises Despite Schumer Shutdown Call; Tesla Drops (Live Coverage),138262030,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,Stock Market Today: The Dow Jones index rose Monday even as Trump threatened new tariffs on Canada. Tesla stock dropped ahead of earnings.,https://finnhub.io/api/news?id=66a9976c4192b0afee39e8836ac7d4cae9852e80af8383c2d759a950e150d986
company,1769445752,Baker Hughes Q4 Earnings Call Highlights,138263648,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Baker Hughes (NASDAQ:BKR) executives pointed to record results in Industrial and Energy Technology (IET) and strong cash generation in 2025, while acknowledging continued macro-driven softness in its Oilfield Services and Equipment (OFSE) segment. On the company’s fourth-quarter and full-year 2025 e",https://finnhub.io/api/news?id=84b26a11243a8b73195ee92ca4d7218450d07c2fd3809e1d05ef8e16c47d0746
company,1769434500,"Earnings live: Nucor stock falls, Baker Hughes rises as Big Tech earnings loom",138264889,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=748584f28a5a5e14f8340ccc35af541a55c46d109556e51a5aa5c1dcc0fc8e6b
company,1769434500,Earnings live: Baker Hughes stock rises as Big Tech earnings come into view,138261179,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=c4ea8a8e4fcc8e5228e3138af0895ecb92faed3fe7dae1648d06211ff67af246
company,1769431940,Baker Hughes Company (BKR) Q4 2025 Earnings Call Transcript,138263462,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,BKR,SeekingAlpha,"Baker Hughes Company (BKR) Q4 2025 Earnings Call January 26, 2026 9:30 AM ESTCompany ParticipantsChase Mulvehill - Vice President of Investor...",https://finnhub.io/api/news?id=09c6e3cf01d6f3596367621d728ed82895f116a761d82e891764cf6f618e2fe3
company,1769431506,"Stocks making the biggest moves midday: GameStop, Booz Allen, CVR Energy, CoreWeave & more ",138263177,https://image.cnbcfm.com/api/v1/image/108154723-1749061631145-gettyimages-2217971100-NINTENDO_SWITCH_2.jpeg?v=1769449222&w=1920&h=1080,BKR,CNBC,These are some of the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=87630a2f11451559188dc20add685718311c3f6fc04bce651c5a4ce3efe2aae5
company,1769429400,Baker Hughes Q4 Earnings Beat Estimates on IET Segment Performance,138262222,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,BKR beats Q4 earnings and revenue estimates as strong Industrial & Energy Technology growth offset weakness in Oilfield Services.,https://finnhub.io/api/news?id=7854a968e4140f08714609866fe23796cccd366691f0e28ee8f76fb544c4405c
