category,datetime,headline,id,image,related,source,summary,url
company,1769469264,Why Analysts See BlackRock (BLK) Differently After The Latest Price Target Reset,138265473,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock’s latest price target change has put fresh attention on how investors are thinking about its role in the global asset management industry. With analysts revisiting their assumptions, the new target reflects updated views on the company’s scale, product mix, and positioning across markets. Read on to see what is driving that refreshed narrative and how you can keep track of future shifts in expectations. Stay updated as the Fair Value for BlackRock shifts by adding it to your...",https://finnhub.io/api/news?id=28d653a2ec357ed4378b385e24d5ddeb557b0f0114b285def19a6c21d253ac23
company,1769468400,BlackRock® Canada Announces Final January Cash Distributions for the iShares® Premium Money Market ETF,138265474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"TORONTO, Jan. 26, 2026 (GLOBE NEWSWIRE) -- BlackRock Asset Management Canada Limited (“BlackRock Canada”), an indirect, wholly-owned subsidiary of BlackRock, Inc. (NYSE: BLK), today announced the final January 2026 cash distributions for the iShares Premium Money Market ETF. Unitholders of record on January 27, 2026 will receive cash distributions payable on January 30, 2026. Details regarding the final “per unit” distribution amounts are as follows: Fund NameFund TickerCash Distribution Per Uni",https://finnhub.io/api/news?id=a9a96f736bd65fc017b60861e9fae34c3352b67252ebcf8313f0bf83c6db7682
company,1769468100,BlackRock’s Rieder is Favored by Traders to Lead the Fed. Has Trump Found a Goldilocks Candidate?,138265475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Rick Rieder, who oversees $2.7 trillion at BlackRock, has vaulted to No. 1 in betting markets as President Donald Trump’s pick for Fed chair. Credit his ideas, experience, and Wall Street fan club.",https://finnhub.io/api/news?id=124ec4dcb1b890927886f12f8a54450e5bb68743ebd67e5deb9442625ddc6a18
company,1769462996,Avalanche ETF debuts on Wall Street,138264930,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"After years of speculation, I finally witnessed the historic moment when Wall Street launched crypto products in January 2024. Top asset managers like BlackRock (NYSE: BLK) and Fidelity Investments launched exchange-traded funds (ETFs) linked to Bitcoin (BTC) and Ethereum (ETH) in the year, making ...",https://finnhub.io/api/news?id=8b0a5789f8296f38ef767e2ca636446dece2373a368ca70395c0c9eb8de3fd60
company,1769462526,BlackRock eyes new Bitcoin ETF with premium,138265476,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock has filed to launch a second Bitcoin ETF two years after the debut of its blockbuster product, IBIT. This one would feature additional income earned by selling call options on IBIT shares. Among traditional financial firms, BlackRock has been among the most aggressive to embrace crypto.",https://finnhub.io/api/news?id=4e2c0c17485cf97ca6efe8bd749546555a708896ba4b197653b205e1ef1ddf53
company,1769461532,"Stock market today: Dow, S&P 500, Nasdaq rise to kick off key week with Big Tech earnings, Fed decision",138264851,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Markets are treading carefully ahead of a Fed rate decision and a big week of earnings from the likes of Apple and Meta.,https://finnhub.io/api/news?id=fdef171cf425ae802c31823d67b467a04acfca43eb0b78bf9d3c343bb1a954ab
company,1769458412,BlackRock Private Credit Fund Tanks,138264932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Mounting losses in a business development company managed by BlackRock sent prices of the fund’s stocks and bonds tumbling Monday, reflecting mounting investor angst about the private-credit market.  BlackRock TCP Capital disclosed late Friday a 19% decline in the net asset value of the private corporate loans it owns tied to a sharp rise in nonperforming loans to about 10% of its portfolio.  The fund is one of several BDCs The Wall Street Journal highlighted in a report about troubled BDCs in December.",https://finnhub.io/api/news?id=68cd138b20ed6f635d3db563a44292eeb4601864d238df8888b8e6f12b77a52f
company,1769457705,"BitMine Makes Largest 2026 Ethereum Purchase, Hits 3.52% Supply",138265477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BitMine Immersion Technologies (NYSE AMERICAN: BMNR) acquired 40,302 ETH last week, marking its biggest Ethereum ETH $2 925 24h volatility: 4.7% Market cap: $352.81 B Vol. 24h: $31.20 B purchase in 2026 as the company accelerates toward owning 5% of total supply. The firm now holds 4,243,338 ETH, valued at ...",https://finnhub.io/api/news?id=696bd85ccfc76897f22c50d8b3bc75f071ae79b2692d7522b65a9e4ac051066c
company,1769454627,BlackRock’s new ETF could pay investors even if Bitcoin crashes,138264365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"I remember the excitement in the market when BlackRock (NYSE: BLK) launched its U.S. spot exchange-traded fund (ETF) linked to Bitcoin (BTC) in January 2024. After all, the world's largest asset manager had decided to launch a Bitcoin product after much hesitation and the move had indicated Wall ...",https://finnhub.io/api/news?id=9f79721c61402894f6669e43e8b8697ab6fca41d032a29912960d9662d37b1c5
company,1769454218,Why BlackRock’s former crypto head is betting on Ethereum,138264933,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"SharpLink CEO and former BlackRock head of digital assets strategy, Joseph Chalom, joins CoinDesk's Jennifer Sanasie on Markets Outlook. He explains why he believes Ethereum’s Total Value Locked (TVL) is poised for 10X growth in 2026. Chalom breaks down how stablecoins, RWA tokenization, and sovereign wealth funds are migrating to decentralized rails, effectively turning Ethereum into the ""toll road"" of global finance. They also dive into the rise of AI agents in DeFi and how SharpLink is pioneering a new institutional treasury model as the world’s second-largest public ETH holder.",https://finnhub.io/api/news?id=2db7426986474557bc3bb3537ce4129a67bfde24f74bf987f86df2d91d2b9767
company,1769449166,BlackRock Files S-1 With SEC for iShares Bitcoin Premium Income ETF,138264366,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Global investment firm BlackRock has filed an S-1 application form with the US Securities and Exchange Commission (SEC) to launch an iShares Bitcoin BTC $87 987 24h volatility: 0.9% Market cap: $1.76 T Vol. 24h: $58.63 B Premium Income ETF. While not yet approved, the new ETF product would consist ...",https://finnhub.io/api/news?id=6b4ab52d8cbda2a2fa627f4f388b367d7c7fee25c129213cc5588e6e61f97eac
company,1769446800,Diversified Energy TR-1,138263524,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"TR-1: Standard form for notification of major holdings 1. Issuer Details ISIN US25520W1071 Issuer Name Diversified Energy Company UK or Non-UK Issuer Non-UK 2. Reason for Notification An acquisition or disposal of voting rights 3. Details of person subject to the notification obligation Name BlackRock, Inc. City of registered office (if applicable) Wilmington Country of registered office (if applicable) USA 4. Details of the shareholder Full name of shareholder(s) if different from the person(s)",https://finnhub.io/api/news?id=a1f029d35c56cb3bfd014cebdea78b9947315edfb9c8df0c05ce90b86851c6ac
company,1769445519,"Analysis-Dollar under fire again as investors reassess Trump policies, geopolitical risk",138263525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"LONDON, Jan 26 (Reuters) - The dollar is coming under fire again in the first few turbulent weeks of 2026 as a growing range of factors -- including Washington's desire for a weaker dollar -- prompts a rethink of investors' optimistic assumptions for a period of stability ​for the currency. The dollar on Monday was heading for its biggest three-day slide against a basket of major currencies since last April, when U.",https://finnhub.io/api/news?id=be7ad044b0d4e6e3f7d0f3d802267e36d3b2737d2b01d6da8b4979c2c8147297
company,1769445092,BlackRock Files With SEC to Launch iShares Bitcoin Premium Income ETF,138263526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,BlackRock filed for a Bitcoin income ETF using an options strategy to generate premium income for investors beyond spot price gains.,https://finnhub.io/api/news?id=f90cde3cba2b77bdf0c361fa17b274365567fdb674417db01c568f315430995a
company,1769444186,Rate plans from Trump's Fed candidates may not be so different,138263527,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"President Trump's hinted that he was going to announce his nominee to be the next chair of the Federal Reserve very soon in his address at the World Economic Forum (WEF) last week. In fact, Wall Street believes an announcement could be coming as soon as this week.Prediction markets have swung in favor of BlackRock's (BLK) head of fixed income Rick Rieder.BofA Securities Senior U.S. Economist Stephen Juneau weighs in on whether a new Fed chair would change the narrative around interest rate policy for regulators. The US central bank is scheduled to release its first interest rate decision of 2026 this Wednesday, January 28.Be sure to check out Jennifer Schonberger's profiles on each of the possible candidates to be the next Fed chair: National Economic Council director Kevin Hassett, former Fed Governor Kevin Warsh, Fed Governor Chris Waller, Fed Vice Chair of Supervision Michelle Bowman, and BlackRock's Rick Rieder.To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=ab96bedcf328b8e4f60327db8a866d5846d0b7275d9c43fe37a6d370546527f4
company,1769443920,BlackRock TCP Capital Stock Slides 14% as Fund Flags Bad News,138263528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock TCP Capital  a private-credit fund, said it expects to take a hit to its net asset value for the fourth quarter, in what could be seen as another red flag within that market.  The fund revealed in a securities filing late Friday that its net asset value will decline 19% for the fourth quarter.  The write-down “is primarily driven by issuer specific developments during the quarter,” TCP said.",https://finnhub.io/api/news?id=b7b1dfbf756d23f244cef6ea9bebb4f84ee7aa793839300ed4661e8427777e97
company,1769440398,BlackRock doubles down on bitcoin fund offerings with income-focused filing,138263529,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"The ETF would actively manage a covered call bitcoin exposure through BlackRock's existing iShares Bitcoin Trust (IBIT), to generate income for investors.",https://finnhub.io/api/news?id=dee86b5bf1040271b1069bbf9eb10e6e34cbf3b33a9b1e32cfbd51ebb40f9203
company,1769439939,BlackRock Files S-1 for Bitcoin Premium Income ETF as Crypto ETPs See $1.73B in Outflows,138262136,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"The world’s largest asset manager, BlackRock, has filed the registration statement for its Bitcoin Premium Income ETF with the U.S Securities and Exchange Commission (SEC). This move comes just as crypto ETPs log their largest weekly outflows since November last year. BlackRock Files Registration Statement For Upcoming Bitcoin ETF An SEC filing shows that the",https://finnhub.io/api/news?id=80380cf84829a9f08554a9b4ea59cb5e3b4c27a2c4675fc54cd83f77c39803ea
company,1769434920,BlackRock TCP Capital Stock Slides 14%. It’s Private Credit’s Latest Problem Child.,138267324,,BLK,MarketWatch,BlackRock TCP Capital Stock Slides 14%. It’s Private Credit’s Latest Problem Child.,https://finnhub.io/api/news?id=8a1847777003240ff64dab60550d1dbb874903952a29bfd96f2dd13908a8d76c
company,1769434200,Thematic Investing and Credit Risk Research Honored with Graham and Dodd Awards of Excellence,138261286,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"NEW YORK, January 26, 2026--CFA Institute, the global association of investment professionals, today announced the winners of the Graham and Dodd Awards of Excellence, recognizing the most outstanding research articles published in the CFA Institute Financial Analysts Journal during the year.",https://finnhub.io/api/news?id=a0f23c0ef388254fd4aa419c9fc75150894d4d069b245efe93032cef831c0542
company,1769432683,"Final Trades: BlackRock, Thermo Fisher and the GLD",138271991,https://image.cnbcfm.com/api/v1/image/108257132-17694504541769450452-43697349023-1080pnbcnews.jpg?v=1769450453&w=1920&h=1080,BLK,CNBC,The Investment Committee give you their top stocks to watch for the second half.,https://finnhub.io/api/news?id=4b5e652aa5c600953f4fbededc95b4f96310607785d00ff0915dfe9319ce6825
company,1769431692,CVC Bets on U.S. Private-Credit Market,138261287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"CVC Capital Partners is betting on the growth of the U.S. private-credit market, striking a $1.2 billion deal to buy Marathon Asset Management.  The deal follows BlackRock’s much bigger wager on the growing demand for private credit through its $12 billion deal to buy HPS Investment Partners.  Buying Marathon will bolster the buyout firm’s position in real estate and asset-backed lending in the U.S. at a time when parts of the private-credit market are starting to show cracks.",https://finnhub.io/api/news?id=5b63739faeccc599e01810a731a3c839e757d5b32aaef20bf478fa8789599cad
company,1769429411,BTC USD Slips Below $90K as Investors Pull $1.3B From ETFs,138263530,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Bitcoin fell after investors yanked more than $1.3 billion from US spot Bitcoin ETFs in just days. BTC USD hovered near $86,000, down about 7% on the week, as steady selling hit the market. BTC USD price slipped below $90,000 after heavy selling pressure from US spot Bitcoin ETFs. Investors ...",https://finnhub.io/api/news?id=a95524171d80930508b65e3e1babb64ace57fee69f2fe618b3391c45d435b149
