category,datetime,headline,id,image,related,source,summary,url
company,1769456065,"Tariffs linger over earnings, even as companies get used to them",138264338,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"STORY: Many U.S. companies have sought to reassure investors that U.S. President Donald Trump's tariffs are ""manageable.""But corporate America so far this earnings season is signaling that profit margins could be squeezed as consumers push back on higher prices.Bellwethers including Procter & Gamble and 3M have flagged these challenges.And Andy Jassy, CEO of Amazon, told CNBC on the sidelines of the World Economic Forum in Davos that the retail giant was seeing prices tick up on its e-commerce platform as sellers have sold the inventory they built up before tariffs went into effect.Numerous companies with global footprints report results in the coming week, including General Motors and Caterpillar.While broader consumer spending has held up, buyers have been more judicious, often looking for value items, particularly lower- and middle-income earners.One economic strategist told Reuters quote, “Most consumers are still mad about the level of current prices and won't take kindly to further hikes.”Levi Strauss reports holiday-quarter results on Wednesday.The company said in October that tariffs would cut its margins more than it had anticipated.  Levis has raised some prices while trying to diversify its supply chain, and the company also warned of a softer consumer environment.Three Harvard University professors have been tracking the price of roughly 360,000 goods, from carpets to coffee, at major online and brick-and-mortar retailers in the United States.They estimate that as of year-end, domestic goods cost about 4.3 percentage points more than would have been expected based on the pre-tariff regime, while imported goods are about 5.8 percentage points more expensive.According to the Yale Budget Lab, the effective tariff rate on U.S. consumers as of mid-November was 14.4%, the highest in 85 years.The current tariff regime could be interrupted if the U.S. Supreme Court rules against President Donald Trump's use of emergency economic powers to implement them.That could lead to massive refunds for companies that had to pay duties.But the process could play out over years, and the White House plans to use other means to keep the tariffs in place.",https://finnhub.io/api/news?id=9dce88c93704eabcd7486a0808e17cd870c2005f01ffe56442677072fe84f8c6
company,1769441700,"GCC Construction Equipment Industry Research Report 2025-2030: LNG Expansion, Infrastructure Megaprojects, and Renewable Energy Investments Fuel Demand",138262088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"The GCC Construction Equipment Market, sized at 68,499 units in 2024, is projected to reach 94,499 units by 2030, with a CAGR of 5.51%. Driven by ambitious urban growth plans like UAE's 2040 Urban Master Plan and Saudi Arabia's Vision 2030, demand for construction equipment, especially earthmoving machinery, is soaring. Major investments in public infrastructure, LNG projects, and renewable energy are fueling market expansion across the GCC. Key players include Caterpillar, Komatsu, and Volvo CE",https://finnhub.io/api/news?id=20e8ce302db2a9bbf7a00d495f97a57153e36b126b91b6e6351c8ed6f3c8efb0
company,1769440575,"Caterpillar Q4 Preview: Backlog, Margins, And The AI Power Trade",138264542,,CAT,SeekingAlpha,,https://finnhub.io/api/news?id=2a0540e7932ba7aa833d08f36c8cd5eb15ef48afbe6a3fcd2362292cc7655cc7
company,1769436908,Ahead of Caterpillar (CAT) Q4 Earnings: Get Ready With Wall Street Estimates for Key Metrics,138263478,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Beyond analysts' top-and-bottom-line estimates for Caterpillar (CAT), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended December 2025.",https://finnhub.io/api/news?id=0285ffbb589c6f9ee925e045285c5c7fd9419eabecda4cb4807b4afee4ce0f30
company,1769434500,"Earnings live: Nucor stock falls, Baker Hughes rises as Big Tech earnings loom",138264889,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=748584f28a5a5e14f8340ccc35af541a55c46d109556e51a5aa5c1dcc0fc8e6b
company,1769434500,Earnings live: Baker Hughes stock rises as Big Tech earnings come into view,138261179,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings calendar.",https://finnhub.io/api/news?id=c4ea8a8e4fcc8e5228e3138af0895ecb92faed3fe7dae1648d06211ff67af246
company,1769433960,"Cisco, Apple share gains contribute to Dow's 311-point jump",138283309,,CAT,MarketWatch,"Cisco, Apple share gains contribute to Dow's 311-point jump",https://finnhub.io/api/news?id=1d5b7449a61859261cf4e16a7f49ec3a1f0fa665c720f99bcd320d856af66c75
company,1769430496,"Stocks Down Pre-Bell Ahead of Major Tech Earnings, Fed Policy Decision",138261182,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,The benchmark US stock measures were pointing lower before the opening bell Monday as traders await,https://finnhub.io/api/news?id=d38ad332ae2966110437eb0f95f2dd0f58a017a83b569fd792137b82f1f74d88
company,1769428802,Option Volatility And Earnings Report For January 26 - 30,138261969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"It’s the biggest week of the quarter for earnings this week with plenty of big names set to report. This week we have Tesla, Microsoft, Apple, Meta Platforms, UnitedHealth Group, Exxon Mobil, Visa, Mastercard, Chevron and Caterpillar all reporting in what shapes as a busy and pivotal week for stocks.",https://finnhub.io/api/news?id=b6300d2a69b8951bfb47a67d49e66ec88b1d7ee170ed64d223ce5926f71eec7f
company,1769426530,"Stocks Set for Muted Open After Trump’s Tariff Threats, Big Tech Earnings and Fed Meeting in Focus",138261994,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"March S&P 500 E-Mini futures (ESH26) are down -0.05%, and March Nasdaq 100 E-Mini futures (NQH26) are down -0.14% this morning, pointing to a muted open on Wall Street as President Trump’s tariff threats against Canada and the looming risk of a partial U.S. government shutdown curbed risk appetite at the start of a busy week.",https://finnhub.io/api/news?id=87f9b482850a40a722fdd1e331914009a4e148f056cc8e045beab4fcf070b500
