category,datetime,headline,id,image,related,source,summary,url
company,1769463436,Stock Market Today: Dow Up Despite Schumer Shutdown Call; Michael Burry Boosts GameStop (Live Coverage),138264842,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Stock Market Today: The Dow Jones index rises Monday even as Trump threatens new tariffs on Canada. Michael Burry boosts GameStop, Tesla dips.",https://finnhub.io/api/news?id=f9c70d672391937f91f5aa4fe452a00dc238cc4b29fe3115fbd692b554c9a923
company,1769460958,Why Cisco (CSCO) Stock Is Trading Up Today,138264908,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,Shares of networking technology giant Cisco (NASDAQ:CSCO) jumped 3.7% in the afternoon session after Evercore ISI upgraded the stock to Outperform from In Line and raised its price target.,https://finnhub.io/api/news?id=3c18da959a94158c0b19f2def41834878cb4f03961b8c668b3107e78dc68e55b
company,1769454609,Why Cisco Systems (CSCO) Price Target Revision Is Rewriting The Story Around The Stock,138264348,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"The latest update on Cisco Systems focuses squarely on a revised price target, highlighting how fresh information and shifting expectations are reshaping the story around the stock. While the exact figures behind this new target are not detailed here, the change itself signals that analysts are reassessing what they think the shares are worth under current assumptions. Stay tuned to see how you can keep on top of these price target moves and the evolving narrative around Cisco from...",https://finnhub.io/api/news?id=5d3e110bbe47bb2dd84912a32829552b21ee713ca5ba13b84ccc4fa7ab5fdd4b
company,1769440801,Stock Market Today: Dow Rises Despite Schumer Shutdown Call; Tesla Drops (Live Coverage),138262030,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,Stock Market Today: The Dow Jones index rose Monday even as Trump threatened new tariffs on Canada. Tesla stock dropped ahead of earnings.,https://finnhub.io/api/news?id=66a9976c4192b0afee39e8836ac7d4cae9852e80af8383c2d759a950e150d986
company,1769441793,"Cisco Upgraded On Above Consensus Profit, Revenue Outlook",138262092,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,Cisco stock rose amid Evercore ISI upgrade to outperform on views the company can deliver above consensus profit and revenue growth.,https://finnhub.io/api/news?id=a2466709bfe4ab0f2c58f14151500620b36e938449572f2a91cedad6b268fc24
company,1769441298,"Tech's top CEOs mum after Minneapolis killings, while leaders like Reid Hoffman, Yann LeCun speak out",138271767,https://image.cnbcfm.com/api/v1/image/108256905-1769430916300-gettyimages-2257694079-AA_26012026_2622412.jpeg?v=1769473848&w=1920&h=1080,CSCO,CNBC,"While a few leaders have voiced outrage, the tech sector has stayed widely silent after the second fatal shooting by federal agents in Minneapolis this month.",https://finnhub.io/api/news?id=76bec7752e61f5fbc63efc48477b1bb1dfed868bdab1b21f8410fbcdef753da9
company,1769440440,Will Check Point's Recent AI Advancements Help Steer the Competition?,138263487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"CHKP rolls out an AI-driven exposure management strategy to close the remediation gap, automate responses and speed fixes as cyber threats intensify.",https://finnhub.io/api/news?id=3351f97cea2c625568aba0a301781de7b7c95c3fd071ec01c18b5759fdfaec43
company,1769439018,"Netflix, Meta upgraded: Wall Street's top analyst calls",138261973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Netflix, Meta upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b7c7f8f1c672b9e1bfac10a20ebdea6b0bfa28863ca83ff14532f5754e7d6fe7
company,1769433960,"Cisco, Apple share gains contribute to Dow's 311-point jump",138283309,,CSCO,MarketWatch,"Cisco, Apple share gains contribute to Dow's 311-point jump",https://finnhub.io/api/news?id=1d5b7449a61859261cf4e16a7f49ec3a1f0fa665c720f99bcd320d856af66c75
company,1769433443,"Here Are Monday’s Top Wall Street Analyst Research Calls: Amazon.com, AppLovin, Cisco Systems, Cognizant Technology, Dutch Bros., Meta Platforms, Netflix, and More",138261993,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Pre-Market Stock Futures: Futures are trading flat as we get ready to start the new trading week, and despite a strong rebound last Wednesday through Friday, we still ended with our second straight losing week. As the smoke cleared from the Greenland turmoil and no new tariffs were imposed on Europe, investors renewed scrutiny of ... Here Are Monday’s Top Wall Street Analyst Research Calls: Amazon.com, AppLovin, Cisco Systems, Cognizant Technology, Dutch Bros., Meta Platforms, Netflix, and More",https://finnhub.io/api/news?id=6cb5826553cb59d2a602f22a6fe7a33363d50f6e9c3c8024ef8de0bb6552fcaf
