category,datetime,headline,id,image,related,source,summary,url
company,1769458220,Should Wells Fargo’s AI Hire and Emberpoint Bet Prompt a Rethink by WFC Investors?,138264864,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"In recent weeks, Wells Fargo has joined Lockheed Martin, PG&E and Salesforce to launch Emberpoint, a wildfire-technology venture backed by more than US$100 million of committed partner funding, reported full-year 2025 earnings with net income of US$21,338 million, and continued issuing a range of senior unsecured notes across multiple maturities. Wells Fargo also named former Amazon Web Services and Google executive Faraz Shafiq as its new Head of AI Products and Solutions, underscoring how...",https://finnhub.io/api/news?id=47393a119a0dd82e36e83f0fbe70c4ecfd4c4275174f905969c2a9bc27e6da57
company,1769453894,"Lockheed Martin, PG&E, Salesforce and Wells Fargo team up to battle wildfires",138264350,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The companies announced a new venture on Monday to help firefighters prevent, detect and respond more quickly to wildfires.",https://finnhub.io/api/news?id=1d0d7ddad8cec63c31c7f6f1992352cc15108751994f44d5218e6ffed66a684a
company,1769450400,"Lockheed Martin, PG&E Corporation, Salesforce and Wells Fargo Launch EMBERPOINT™ to Transform America's Wildfire Prevention, Detection and Response",138264351,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Today, Lockheed Martin (NYSE:LMT), PG&E Corporation (NYSE:PCG), Salesforce (NYSE:CRM) and Wells Fargo (NYSE:WFC) announced the launch of EMBERPOINTTMLLC, a purpose-built venture that will integrate next-generation wildfire solutions to help first responders detect, prevent and fight catastrophic wildfires. This partnership will set a new standard in wildfire safety, enabling more progress than a single company can achieve alone.",https://finnhub.io/api/news?id=4b462e8edacd44753e618a5202910c0a6903503dd318eabb205327f3c4993826
company,1769445360,Lockheed Martin Corp. stock underperforms Monday when compared to competitors,138286128,,LMT,MarketWatch,Lockheed Martin Corp. stock underperforms Monday when compared to competitors,https://finnhub.io/api/news?id=e80d4e77c0caaa3c498871d9f3c0b4d7fd0bb41336395040edd84f629fb0a129
company,1769443110,How the USA Rare Earth deal with the Trump administration came together,138272088,https://image.cnbcfm.com/api/v1/image/108257204-1769456507311-108257204-1769456365873-gettyimages-2240823312-IMF_WORLD_BANK.jpg?v=1769456517&w=1920&h=1080,LMT,CNBC,USA Rare Earth's CEO provided rare insight in an interview with CNBC's Brian Sullivan into how the federal government plans equity stakes in mining companies.,https://finnhub.io/api/news?id=561e616ba553077a51befc739d5eb5162c91bec1f77d33e944716c360f03701e
company,1769436903,What Analyst Projections for Key Metrics Reveal About Lockheed (LMT) Q4 Earnings,138263547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Evaluate the expected performance of Lockheed (LMT) for the quarter ended December 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",https://finnhub.io/api/news?id=32f13ce19ab330c786ecb97199c92445cc7f708c1c219b930858b042baff6196
company,1769436480,"Lockheed Martin, PG&E partner to launch 'Emberpoint' to provide advanced wildfire protection",138272090,https://image.cnbcfm.com/api/v1/image/108257178-17694541611769454159-43698163322-1080pnbcnews.jpg?v=1769454160&w=1920&h=1080,LMT,CNBC,"James Taiclet, Lockheed CEO, and Patricia Poppe, PG&E CEO, join 'Closing Bell' to discuss the two company's recent partnership, the companies tied to the partnership and much more.",https://finnhub.io/api/news?id=b18d5ab6814ae99081dc2923f8e3f1d0c345a6b732d8929ab09f72b6f05ef720
company,1769429451,Why Lockheed Martin's Stock Run-Up Doesn't Scare Me Going Into Earnings,138262772,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1423754757/image_1423754757.jpg?io=getty-c-w1536,LMT,SeekingAlpha,"Preview Lockheed Martin Corporation's Q4 earnings, F-35 outlook, and defense budget tailwinds under Trumpâs $1.5T planâknow risks & upside. Click for this LMT update.",https://finnhub.io/api/news?id=968bcaa3e99c11bbd71611114afcb17815b82dd90526b9bfe6716e9619d4c8f8
company,1769428680,"Aircraft Sensors Market Report 2026-2030 & 2035 Featuring Strategic Analysis of General Electric, United Technologies, Raytheon, Lockheed Martin, Honeywell and More",138261256,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The aircraft sensors market presents opportunities in AI integration for data processing, lightweight and miniaturized sensors for fuel efficiency, and expansion in autonomous aircraft Aircraft Sensors Market Aircraft Sensors Market Dublin, Jan. 26, 2026 (GLOBE NEWSWIRE) -- The ""Aircraft Sensors Market Report 2026"" has been added to ResearchAndMarkets.com's offering. The aircraft sensors market is experiencing robust growth, projected to expand from $5.25 billion in 2025 to $5.66 billion in 2026",https://finnhub.io/api/news?id=dc1e2db7cd4f6f621891f4048719f53aa1aba74d39a5c9f441d4eb27a307903c
company,1769426530,"Stocks Set for Muted Open After Trump’s Tariff Threats, Big Tech Earnings and Fed Meeting in Focus",138261994,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"March S&P 500 E-Mini futures (ESH26) are down -0.05%, and March Nasdaq 100 E-Mini futures (NQH26) are down -0.14% this morning, pointing to a muted open on Wall Street as President Trump’s tariff threats against Canada and the looming risk of a partial U.S. government shutdown curbed risk appetite at the start of a busy week.",https://finnhub.io/api/news?id=87f9b482850a40a722fdd1e331914009a4e148f056cc8e045beab4fcf070b500
company,1769425080,"Autonomous Military Aircraft Market Report 2026 Featuring Strategic Analysis of The Boeing Company, Lockheed Martin Corp., GE Aviation, Northrop Grumman Corp., BAE Systems and More",138260417,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Key market opportunities include the increasing demand for advanced unmanned aerial vehicles (UAVs), growth in AI-driven systems for modern warfare, rising defense budgets for next-gen weaponry, and development of drone swarms Autonomous Military Aircraft Market Autonomous Military Aircraft Market Dublin, Jan. 26, 2026 (GLOBE NEWSWIRE) -- The ""Autonomous Military Aircraft Market Report 2026"" has been added to ResearchAndMarkets.com's offering. The autonomous military aircraft market has witnesse",https://finnhub.io/api/news?id=058e21053cce7605f93a1d23e307a1bdeb652304a54b34c5ae22e6ae4f747ed4
company,1769423400,Furious Rally in US Defense Stocks Faces Earnings Reality Check,138261267,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Now, with some of the biggest names in the industry set to report earnings this week, investors are eager for evidence that the rally is rooted in reality.  An index of aerospace and defense shares notched a 42% gain last year, more than double the returns of the technology-heavy Nasdaq 100 Index, amid expectations for heavier government spending on fighter jets and missiles, as well as newer military technology like drones and sophisticated software.  The sudden US ouster this month of Venezuelan President Nicolas Maduro and President Donald Trump’s threats about taking over Greenland have further intensified the rush to own defense stocks, propelling valuations to levels typically reserved for high-flying tech names.",https://finnhub.io/api/news?id=788cc873c237c24f823ae1aa21441de1569bc4c2157038cb530908fd9c1e9380
