category,datetime,headline,id,image,related,source,summary,url
company,1769462040,"Top Analyst Reports for NextEra Energy, Newmont & Blackstone",138265466,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"NextEra Energy, Newmont and Blackstone headline today's top analyst reports, spotlighting renewables expansion, gold project progress and alternative asset strengths.",https://finnhub.io/api/news?id=9da455040a9d872e7fc692b6c5b4dc0044c633c0434f25226d0b48a8e84b6b74
company,1769454877,"Forget Gold At Over $5,000 Per Ounce: These 2 Precious Metals Plays Are a Much Smarter Move for Investors",138264375,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,Record high gold prices will power these two mining behemoths.,https://finnhub.io/api/news?id=182969e26b840dca1135e85d120e264c8498c9f42be012533250d99ab1dcbaa6
company,1769452173,Newmont Is A Golden Opportunity The Market Is Undervaluing,138265336,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2211866604/image_2211866604.jpg?io=getty-c-w1536,NEM,SeekingAlpha,"NEM trades at 18x FWD earnings and a 0.32x PEG, reflecting a steep discount to sector growth despite superior fundamentals and execution. Click here to read.",https://finnhub.io/api/news?id=2190de9b765865695b1d9dad9e1b766b98d7569a58b98bdaf130c08aa63eeb29
company,1769452125,Newmont Rises as Gold Hits Fresh Record,138264376,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Gold prices above $5,100 lift major miners pre-market.",https://finnhub.io/api/news?id=e2aa40e1db1616750ab00bfe48a677af7bc9d70f1f6d535f8b7838edd9356afe
company,1769447526,Why Newmont Corporation Stock Just Popped,138263537,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,Newmont's gold-mining stock looks cheap. Scotiabank thinks you should buy it.,https://finnhub.io/api/news?id=42c9c6f2f89ac11a2ba216d407caced8b84ddc23f1535f56a3477c52d440f56d
company,1769445540,"Gold Surges Past $5,000 for First Time, Silver Soars Again. Why They Can Keep Rallying.",138285548,,NEM,MarketWatch,"Gold Surges Past $5,000 for First Time, Silver Soars Again. Why They Can Keep Rallying.",https://finnhub.io/api/news?id=7e4a02bed31cfb2b8ad8739d2dcd592bc59aa8617973ab3c061aeffc0292c524
company,1769444460,"These Stocks Are Today’s Movers: USA Rare Earth, CoreWeave, Micron, Intel, Newmont, Booz Allen, IonQ, and More",138267528,,NEM,MarketWatch,"These Stocks Are Today’s Movers: USA Rare Earth, CoreWeave, Micron, Intel, Newmont, Booz Allen, IonQ, and More",https://finnhub.io/api/news?id=cb6fa073caea0ebfd469b95f72ea91f8c055f326b16afff41b9a38e775dcdbc1
company,1769438788,"Newmont, Freeport-McMoRan Stocks Rally on Soaring Prices",138262149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Shares in big gold miners rose after the price of the metal surged above $5,000 for the first time. Barrick Mining, Newmont and Freeport-McMoRan all advanced in early trading Monday, adding to already strong gains so far this year.",https://finnhub.io/api/news?id=e5cf1393786f12c0f6dd99dfa5a072c322c631eb3b67807720922f8f2656b169
company,1769434592,"Gold Prices Top $5,000. These ETFs, Gold Miner Stocks Surge.",138261302,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Gold prices advanced above $5,000 per ounce early Monday and several gold ETFs and gold miner stocks moved higher.",https://finnhub.io/api/news?id=755c26511ffcf04eeb7052f32a580490ef208fce1442ef6d60b745c912e6ff0f
company,1769433420,Gold Miners Rally On Soaring Prices,138261303,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Shares in big gold miners rose after the price of the metal surged above $5,000 for the first time. Barrick Mining, Newmont and Freeport-McMoRan all advanced in premarket trading Monday, adding to already strong gains so far this year.",https://finnhub.io/api/news?id=82fed52738104cbb563e5606e507d2b4fc43d56be31ff0a42bdda5ae37d09ea5
company,1769431506,"Stocks making the biggest moves midday: GameStop, Booz Allen, CVR Energy, CoreWeave & more ",138263177,https://image.cnbcfm.com/api/v1/image/108154723-1749061631145-gettyimages-2217971100-NINTENDO_SWITCH_2.jpeg?v=1769449222&w=1920&h=1080,NEM,CNBC,These are some of the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=87630a2f11451559188dc20add685718311c3f6fc04bce651c5a4ce3efe2aae5
company,1769430960,"Newmont, Freeport, and Other Mining Stocks Jump as Gold Surges. More Gains Are Ahead.",138261304,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Gold miners, in turn, have picked up the baton.  In premarket trading,  SSR Mining  was up 4.8%, while  Newmont  and  Freeport-McMoRan  climbed 4.3% and 4%, respectively.  Higher gold prices typically increase mining companies’ revenue and margins.",https://finnhub.io/api/news?id=51633d0b2703ec3fd2192e8d22e96bfc14b5d7e1db0c7c02641623c77cf37e51
company,1769426530,"Stocks Set for Muted Open After Trump’s Tariff Threats, Big Tech Earnings and Fed Meeting in Focus",138261994,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"March S&P 500 E-Mini futures (ESH26) are down -0.05%, and March Nasdaq 100 E-Mini futures (NQH26) are down -0.14% this morning, pointing to a muted open on Wall Street as President Trump’s tariff threats against Canada and the looming risk of a partial U.S. government shutdown curbed risk appetite at the start of a busy week.",https://finnhub.io/api/news?id=87f9b482850a40a722fdd1e331914009a4e148f056cc8e045beab4fcf070b500
company,1769424240,"These Stocks Are Today’s Movers: USA Rare Earth, Micron, Intel, AMD, Newmont, RevMed, and More",138260334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Stock futures were falling Monday after President Donald Trump threatened to impose further tariffs on Canada, fueling fears that the “sell America” trade could gather pace, and as the chances of a partial U.S. government shutdown appeared more likely.  USA Rare Earth  surged 37% to $33.90 ahead of the opening bell.  The Trump administration is planning to inject $1.6 billion into the miner and will receive a 10% stake, the Financial Times reported on Saturday, citing people familiar with the matter.",https://finnhub.io/api/news?id=1cb1ad40b0a3ba2af6c2c973e4e74f63c6efb1fdceea8464f67ceac85338a461
company,1769423341,"Gold miner shares jump as bullion prices hit $5,100/oz record high",138260440,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Jan 26 (Reuters) - Shares of gold miners jumped in premarket trading on Monday, as bullion prices surged to a record high of $5,100 an ounce, extending a historic rally driven by safe-haven demand",https://finnhub.io/api/news?id=dea15276a2965aa33a1e94af09b5b6b54e8a55568f1e9a44d17bbe6cb69111db
company,1769414460,Questcorp Mining Strengthens Advisory Board with New Appointment,138259716,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Vancouver, British Columbia--(Newsfile Corp. - January 26, 2026) - Questcorp Mining Inc. (CSE: QQQ) (OTCQB: QQCMF) (FSE: D910) (the ""Company"" or ""Questcorp"") is pleased to announce that is has strengthened the Advisory Board with the appointment of Mr. Amandip Singh as an Advisor to the Board.Mr. Singh brings over 15 years of experience spanning mineral exploration, capital markets, and strategic transactions. He played a key role in Newmont's US$311 million acquisition of GT Gold and more...",https://finnhub.io/api/news?id=0b74384926d783e8cdc6f58948e28d350730731f7669ac46c1740fdb662e42ef
company,1769413142,"Stocks making the biggest moves premarket: USA Rare Earth, Allied Gold, CoreWeave, Enphase & more",138262943,https://image.cnbcfm.com/api/v1/image/108254609-1768945222387-gettyimages-2257279027-_75a8991_kdnqvbms.jpeg?v=1768945288&w=1920&h=1080,NEM,CNBC,These are the stocks posting the largest moves before the bell.,https://finnhub.io/api/news?id=f2fc4e0263699f89a0e5fa01632aedc7c27526409eb6b8f273475754a9af6941
company,1769406489,Publicly traded BlackRock fund skids and other premarket movers,138285551,,NEM,MarketWatch,Publicly traded BlackRock fund skids and other premarket movers,https://finnhub.io/api/news?id=48e933c5500a6ec44e0e0a8bbcaf5ed122a73dd3e94ba7166a349841ace69314
