category,datetime,headline,id,image,related,source,summary,url
company,1769457215,JPMorgan Says You Should Sell This 1 Flying Car Stock Short Now,138265472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,JPMorgan has listed this flying car stock along with 24 more stocks across sectors on its Q1 short list.,https://finnhub.io/api/news?id=3e2cbbf940f80af8125212d8cfe98989d28be3b1edc8b2c75b142e34f1ea9616
company,1769452242,Why this veteran capitalist is more bullish on robotaxis than humanoids,138264286,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Battle of the investments: humanoids vs. autonomous cars.,https://finnhub.io/api/news?id=a73a489c9d13000d35c1ab5fc762d157a63fd1ad2edf8ea9b407883918e80d02
company,1769443388,Chart of the Day: Tech stock domination gets a reality check,138263345,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,The largest tech stocks in the market get served a reality check.,https://finnhub.io/api/news?id=f84d47051ceb1e86e6333b096953646dc9db4ee744bba7c695a1d151a086bcd3
company,1769441298,"Tech's top CEOs mum after Minneapolis killings, while leaders like Reid Hoffman, Yann LeCun speak out",138271767,https://image.cnbcfm.com/api/v1/image/108256905-1769430916300-gettyimages-2257694079-AA_26012026_2622412.jpeg?v=1769473848&w=1920&h=1080,UBER,CNBC,"While a few leaders have voiced outrage, the tech sector has stayed widely silent after the second fatal shooting by federal agents in Minneapolis this month.",https://finnhub.io/api/news?id=76bec7752e61f5fbc63efc48477b1bb1dfed868bdab1b21f8410fbcdef753da9
company,1769440945,DoorDash and Uber Lose Bid to Block NYC Tipping Law,138262130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Checkout tipping rule takes effect Jan. 26 after court ruling.,https://finnhub.io/api/news?id=3a57bbf64a8e2f2685afbcc0979b2c07ffeb0b736eae3a8bedc03fca127bd745
company,1769437972,Tesla’s Robotaxi Delays: Who Benefits Most from Waymo’s Lead?,138262002,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Elon Musk admitted something Tesla bulls didn’t want to hear: the Cybercab and Optimus rollout will be “agonizingly slow.” While Tesla stumbles on promises made years ago, Waymo (NASDAQ:GOOGL) is already operating robotaxis in San Francisco, Phoenix, Los Angeles, and Austin. Tesla’s delay isn’t just a missed deadline. It’s a market share transfer to competitors ... Tesla’s Robotaxi Delays: Who Benefits Most from Waymo’s Lead?",https://finnhub.io/api/news?id=a046cc1e55615decf7c9b6ebd77fccee4bfd09187b86488b5d554a9f29494fc2
company,1769435099,Why venture capitalist Bill Gurley said a 'correction' is inevitable for AI,138261167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Gurley has seen and done it all in tech.,https://finnhub.io/api/news?id=21a366f7949c623c387990addd7700f71cceb3dd2bc64e9a6ee9e625f3088388
company,1769432444,Why legendary tech investor Bill Gurley says AI stocks are becoming crowded,138261199,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Opening Bid Unfiltered is available on Apple Podcasts, Spotify, YouTube, or wherever you get your podcasts. One of the most prolific venture capitalists of the past 20 years is looking to share some wisdom to the next generation of investors and job seekers. Benchmark general partner Bill Gurley is seen as a heavyweight in Silicon Valley. His claim to fame is an $11 million bet on Uber (UBER) in 2011. But other key investments have included Twitter and Nextdoor (NXDR). Indeed, Gurley has seen it all over the course of his career, everything from the dot.com bubble burst to the current emergence of the AI revolution. He even worked on the Amazon (AMZN) IPO! In his new book dubbed Runnin' Down a Dream: How to Thrive in a Career You Actually Love, Gurley shares several principles to finding success in one’s career. Yahoo Finance Executive Editor Brian Sozzi sits down on the Opening Bid Unfiltered podcast with Gurley to discuss observations he makes in his book and the outlook for tech in a new defining era. Listen on your favorite podcast platform or watch on our website for full episodes of Opening Bid Unfiltered. Yahoo Finance's Opening Bid Unfiltered is produced by Langston Sessoms.",https://finnhub.io/api/news?id=3e418d1ca1b0875b8e8559cfc5ef42b6f2fc81dc6a0fa0c7447261da60645ceb
company,1769428874,"Uber CEO Once Called Bitcoin A 'Proven Commodity,' But Found These Cryptos More 'Practical' For This Reason",138261281,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Uber Technologies Inc. (NYSE:UBER) CEO Dara Khosrowshahi once stressed the importance of embracing cryptocurrencies for practical purposes rather than as a “store of value.” Stablecoins Over Bitcoin? At the Bloomberg Tech Summit in San Francisco on June 6, 2025, Khosrowshahi...",https://finnhub.io/api/news?id=f4ccc095ba28a1a5e483eabb1587fc968e6f629b7dca6b34830dc8de6884911e
company,1769425500,Clients Are Holding Highly Leveraged ETFs Way Too Long,138263520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,The UK’s Financial Conduct Authority recently released data that found most investors aren’t using leveraged ETPs properly.,https://finnhub.io/api/news?id=56e668ce400019a5d11385d1fdd137260360ed2b6c31210f6fd9a1349a16e73b
