category,datetime,headline,id,image,related,source,summary,url
company,1769508000,"Humana, UnitedHealth, and CVS Stocks Plunge After Medicare Rates Blow",138269271,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,"Health-insurance stocks were plummeting Tuesday after the Trump administration proposed keeping Medicare rates roughly flat next year.  The plunge could overshadow the company’s fourth-quarter earnings, due at 10:55 a.m. Eastern time.  CVS Health  stock plummeted 8.9% and  Humana  tumbled 12.4%.",https://finnhub.io/api/news?id=f6df2de1d2fff78b4a45a170490e0df73c111806665f9c0e0bf55cc944805123
company,1769548425,Medicare Shock Wipes Out Nearly $100 Billion in Market Value,138275338,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,"Tuesday's selloff in health-insurance stocks erased nearly $100 billion in market value, according to Dow Jones Market Data. Here's a breakdown of losses based on 4 p.m. ET prices:    ⬇️ UnitedHealth: $62.",https://finnhub.io/api/news?id=d88d72315992237829d382f8cde52746ff5013405ebe4cc2cd0daacddda61085
company,1769534442,Why Centene (CNC) Shares Are Trading Lower Today,138272730,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,Shares of health coverage company Centene (NYSE:CNC) fell 10.7% in the afternoon session after the Centers for Medicare & Medicaid Services (CMS) proposed a much lower-than-expected payment rate increase for 2027 Medicare Advantage plans.,https://finnhub.io/api/news?id=5397dcaed53cf1209e3b8fb41db5947d2181d6aff41693bd4b922be6fdf8d131
company,1769528136,Medicare Shock Wipes Out $92 Billion in Market Value,138271082,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,"Tuesday's selloff in health-insurance stocks is on course to erase nearly $92 billion in market value, according to Dow Jones Market Data. Here's a breakdown of losses based on recent trading:    ⬇️ UnitedHealth: $58.",https://finnhub.io/api/news?id=d7e5daeb1e6c16302ab1936d80fc2cbbfbab7bf2ca7d3e4e8a7f397464327147
company,1769525725,Health insurers slide after 2027 Medicare Advantage payments proposal underwhelms,138270969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,Investing.com -- U.S. health insurers slid on Tuesday after the Trump administration proposed a much lower-than-anticipated increase to payments from next year’s Medicare Advantage plans.,https://finnhub.io/api/news?id=108bd1e35f26abbe47b17928b3be7c749a8c5bd4aae14f51f4a1a05a24dc436e
company,1769525460,"Humana, UnitedHealth, CVS Stocks Tumble After Medicare Rates Blow",138270970,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,"Health-insurance stocks were plummeting Tuesday after the Trump administration proposed keeping Medicare rates roughly flat next year.  CVS Health  stock plummeted 9% and  Humana  tumbled 19%.  Elevance Health  fell 11%, making the stocks the four worst  performers.",https://finnhub.io/api/news?id=a3bcedb387e72c3892cf867cb74dfb853f5f70ce4c1641927c348bd2a3986700
company,1769523521,UnitedHealth Group Stock Is Not Attractive Yet: Caution Is Warranted,138273610,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1415424431/image_1415424431.jpg?io=getty-c-w1536,CNC,SeekingAlpha,UnitedHealth Group Incorporated plunges on Medicare Advantage rates and weak FY26 guidance. Click for more on UNH and its latest earnings report.,https://finnhub.io/api/news?id=36df1572aac38ff8448b500c8c5fdc52ac9d11aad5325e57245dbd082905225b
company,1769521930,UnitedHealth Tanks on Medicare Rates Shock. Time to Sell the Insurance Giant?,138270974,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,"UnitedHealth Group (NYSE:UNH) reported fourth-quarter and full-year 2025 earnings this morning that fell slightly short of analyst estimates, while offering guidance for the coming year that indicated a roughly 2% decline year-over-year due to its right-sizing efforts payment increase for Medicare Advantage plans in 2027 that was far below what was anticipated. The market’s response ... UnitedHealth Tanks on Medicare Rates Shock. Time to Sell the Insurance Giant?",https://finnhub.io/api/news?id=46fa4fdde4db2388a80d8815be0ff4d219efd18f041f99805ed4e0a41e97f22a
company,1769517720,U.S. Managed Care Insurers To Post Lower Q4 2025 Net Income Amid Higher Costs,138272282,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182751221/image_2182751221.jpg?io=getty-c-w1536,CNC,SeekingAlpha,Leading publicly traded US managed care insurers are expected to report both sequential and year-over-year declines in net income for the fourth quarter of 2025.,https://finnhub.io/api/news?id=d466d02973a8fcc40fbdb44d5b3114f1ab067744aa8ed7f015b765529fce5158
company,1769516178,"UnitedHealth, Humana, CVS Dive On Flat 2027 Medicare Advantage Rates; UNH Earnings Mixed",138270083,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNC,Yahoo,Wall Street expected a 5% boost to Medicare Advantage payments. UnitedHealth's mixed earnings and guidance doesn't help.,https://finnhub.io/api/news?id=15a0f31fb9410427537a95dafddb9d96acc291e5affefc7e4186aff0d898c246
