category,datetime,headline,id,image,related,source,summary,url
company,1769508000,"Humana, UnitedHealth, and CVS Stocks Plunge After Medicare Rates Blow",138269271,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"Health-insurance stocks were plummeting Tuesday after the Trump administration proposed keeping Medicare rates roughly flat next year.  The plunge could overshadow the company’s fourth-quarter earnings, due at 10:55 a.m. Eastern time.  CVS Health  stock plummeted 8.9% and  Humana  tumbled 12.4%.",https://finnhub.io/api/news?id=f6df2de1d2fff78b4a45a170490e0df73c111806665f9c0e0bf55cc944805123
company,1769538600,The Dow Is Getting Pummeled by UnitedHealth. Why the Rest of the Stock Market Is Fine.,138273989,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"Just look at  UnitedHealth  The Dow tumbled more than 500 points, or 1%, in early trading Tuesday before rebounding a bit.  UnitedHealth, which reported earnings Tuesday morning, was hit by weaker-than-expected revenue and underwhelming guidance for 2026.  News late Monday that the Trump administration was proposing a smaller-than-forecast increase in Medicare Advantage reimbursements only served to make investors even more nervous.",https://finnhub.io/api/news?id=5fb6209f7f332f52193f3e467c91f2bbee3986de6eb8144515e689973cafbba8
company,1769548425,Medicare Shock Wipes Out Nearly $100 Billion in Market Value,138275338,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"Tuesday's selloff in health-insurance stocks erased nearly $100 billion in market value, according to Dow Jones Market Data. Here's a breakdown of losses based on 4 p.m. ET prices:    ⬇️ UnitedHealth: $62.",https://finnhub.io/api/news?id=d88d72315992237829d382f8cde52746ff5013405ebe4cc2cd0daacddda61085
company,1769544661,Why Molina Healthcare (MOH) Stock Is Nosediving,138275346,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,Shares of healthcare insurance company Molina Healthcare (NYSE:MOH) fell 7.3% in the afternoon session after the U.S. government proposed a significantly smaller-than-expected increase in payments for private Medicare Advantage plans for 2027.,https://finnhub.io/api/news?id=4c5090a4269c31228d4b27da85d004eb95a74b60a11b4fc1f062cefdb4abf6e7
company,1769528136,Medicare Shock Wipes Out $92 Billion in Market Value,138271082,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"Tuesday's selloff in health-insurance stocks is on course to erase nearly $92 billion in market value, according to Dow Jones Market Data. Here's a breakdown of losses based on recent trading:    ⬇️ UnitedHealth: $58.",https://finnhub.io/api/news?id=d7e5daeb1e6c16302ab1936d80fc2cbbfbab7bf2ca7d3e4e8a7f397464327147
company,1769525725,Health insurers slide after 2027 Medicare Advantage payments proposal underwhelms,138270969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,Investing.com -- U.S. health insurers slid on Tuesday after the Trump administration proposed a much lower-than-anticipated increase to payments from next year’s Medicare Advantage plans.,https://finnhub.io/api/news?id=108bd1e35f26abbe47b17928b3be7c749a8c5bd4aae14f51f4a1a05a24dc436e
company,1769525460,"Humana, UnitedHealth, CVS Stocks Tumble After Medicare Rates Blow",138270970,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"Health-insurance stocks were plummeting Tuesday after the Trump administration proposed keeping Medicare rates roughly flat next year.  CVS Health  stock plummeted 9% and  Humana  tumbled 19%.  Elevance Health  fell 11%, making the stocks the four worst  performers.",https://finnhub.io/api/news?id=a3bcedb387e72c3892cf867cb74dfb853f5f70ce4c1641927c348bd2a3986700
company,1769517720,U.S. Managed Care Insurers To Post Lower Q4 2025 Net Income Amid Higher Costs,138272282,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182751221/image_2182751221.jpg?io=getty-c-w1536,MOH,SeekingAlpha,Leading publicly traded US managed care insurers are expected to report both sequential and year-over-year declines in net income for the fourth quarter of 2025.,https://finnhub.io/api/news?id=d466d02973a8fcc40fbdb44d5b3114f1ab067744aa8ed7f015b765529fce5158
company,1769515502,UnitedHealth Group (UNH) Q4 Earnings Beat Estimates,138270086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"UnitedHealth (UNH) delivered earnings and revenue surprises of +0.83% and -0.04%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d4ac3cebe5fc76a63593464900440e167733b7ce0287f1e54d33e73494cb9523
company,1769506217,"UnitedHealth: The Bearish 1-2 Punch Pressuring Shares, And Why I'm Bullish",138270490,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1308861166/image_1308861166.jpg?io=getty-c-w1536,MOH,SeekingAlpha,UnitedHealth Group Incorporated stays a Buy despite guidance cuts and regulation risks. Click for this updated look at UNH following its latest earnings release.,https://finnhub.io/api/news?id=8569b5953e0bf3dc8639c10dce3c3448caf9d114a69991021aea7168293f1193
company,1769488695,1 Profitable Stock with Exciting Potential and 2 Facing Challenges,138268711,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MOH,Yahoo,"While profitability is essential, it doesn’t guarantee long-term success. Some companies that rest on their margins will lose ground as competition intensifies - as Jeff Bezos said, ""Your margin is my opportunity"".",https://finnhub.io/api/news?id=7f348878c4cd5d5aaaa5236b3b6db1034c4c82cc12038cfb91b3ffddc3da6fc5
