category,datetime,headline,id,image,related,source,summary,url
company,1769547664,NextEra Energy Inc (NEE) Q4 2025 Earnings Call Highlights: Strong Growth and Strategic ...,138275387,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"NextEra Energy Inc (NEE) reports robust financial performance with significant growth in earnings and strategic investments, setting the stage for continued success.",https://finnhub.io/api/news?id=3aae72baeaebd09ce9136b4378dcc33be29c0fa834721df5af849a39e8427d1b
company,1769536380,Utilities Up After NextEra Earnings -- Utilities Roundup,138284345,,NEE,MarketWatch,Utilities Up After NextEra Earnings -- Utilities Roundup,https://finnhub.io/api/news?id=ae09f26f56344ab570adab21a8c557673925284f0936ba8a720cbea993bb8661
company,1769531947,NextEra Energy Q4 Earnings Call Highlights,138272545,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"NextEra Energy (NYSE:NEE) executives highlighted what they called strong operational and financial performance in 2025, alongside expanding demand from large-load customers and continued momentum in contracted renewables and storage, during the company’s fourth-quarter and full-year earnings call.",https://finnhub.io/api/news?id=61737daa0d8af97b7aedd6bab61c352647905aa7a8d77c3ab400569630a21286
company,1769531700,NextEra Energy Inc. stock outperforms competitors on strong trading day,138284346,,NEE,MarketWatch,NextEra Energy Inc. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=472b93b84d96b5058ebd2fa55e4eb50ede09f905edb5acf18d497081c16f842a
company,1769529240,"NextEra Energy's Q4 Earnings Surpass Estimates, Revenues Lag",138272546,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"NEE tops fourth-quarter earnings estimates with strong segment growth, though revenues fall just short of expectations.",https://finnhub.io/api/news?id=d56762a38cca4359f123c78400d1b8b04010a5e75e626fc9c4fa87beb4531877
company,1769527340,"NextEra Energy, Inc. (NEE) Q4 2025 Earnings Call Transcript",138274476,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NEE,SeekingAlpha,"NextEra Energy, Inc. (NEE) Q4 2025 Earnings Call January 27, 2026 9:00 AM ESTCompany ParticipantsMark Eidelman - Director of Investor RelationsJohn Ketchum...",https://finnhub.io/api/news?id=8c3add10e8a97e8c7a7a36351ed5a653d94fd754034199a71af30a7ad984780f
company,1769524205,NextEra (NEE) Q4 Earnings: How Key Metrics Compare to Wall Street Estimates,138272547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"While the top- and bottom-line numbers for NextEra (NEE) give a sense of how the business performed in the quarter ended December 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=b1fd2ec754c6b5300ebbcd0fa4220eea847ae22cbd8f513e0f4104ab4ecc0cdb
company,1769521501,NextEra Energy (NEE) Beats Q4 Earnings Estimates,138271036,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"NextEra (NEE) delivered earnings and revenue surprises of +1.89% and -0.33%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=2dc576a82c1533b58c052b5830631cbe93e2a0e4ee33aa39c338a5d7ac82ff7e
company,1769521320,4 Utility Stocks to Buy From the Flourishing Electric Power Industry,138271037,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"NEE, AEE, LNT and PNW are set to benefit from rising demand from a strong customer base and well-chalked-out capital expenditure to upgrade infrastructure and provide reliable services.",https://finnhub.io/api/news?id=ddb754b2aaef779efcc3734dcbd264ec88d954f958f8e37d7b84ad119cbf2855
company,1769519635,"NextEra Energy misses Q4 expectations, shares edge lower",138270134,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEE,Yahoo,"Investing.com -- NextEra Energy (NYSE:NEE) on Tuesday reported fourth quarter earnings that fell short of analyst expectations, with both revenue and earnings per share coming in below consensus estimates.",https://finnhub.io/api/news?id=98b452f7993cebc64474f926604aef5a87aa2e78bd5f1615271eb92b165008ac
