category,datetime,headline,id,image,related,source,summary,url
company,1769552718,"Micron: I Was Bullish At $89, But At $400, It's Time To Sell Before A  Potential Bust Cycle",138277473,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1297256853/image_1297256853.jpg?io=getty-c-w1536,NFLX,SeekingAlpha,Micron (MU) stock is up 350% on AI memory demand but looks overbought. I believe now is an opportune time to sell MU. See more analysis here.,https://finnhub.io/api/news?id=1317d9547ea294360e302c2bfbe41eb735d97caf261f08ba1e9cef4ddd70eadc
company,1769552479,Is Netflix (NFLX) Stock Now Under $90 a Must-Own for 2026?,138276376,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"Netflix (NASDAQ:NFLX) may be the king of streaming services in the U.S., but Netflix stock isn’t getting the royal treatment in 2026 so far. Indeed, even while many large-cap technology stocks hover near their all-time highs, NFLX stock has let some long-term investors down lately. Yet, as the Netflix share price falls below $100 and ... Is Netflix (NFLX) Stock Now Under $90 a Must-Own for 2026?",https://finnhub.io/api/news?id=50032c7974be7f9bd97e2c1db7097998228bcfaf4ab6f9c720a512f0128d9cab
company,1769547540,Companies Reveal Big Mystery: Where They Pay Taxes and How Much,138275334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,Netflix and Intel are some of the first to comply with a new accounting rule that requires more details about corporate tax payments.,https://finnhub.io/api/news?id=b076797964d338a232e2013e7f5526d8e096fcf8b8b19a995ef6e51094c4ce22
company,1769542207,Senate subcommittee to hold hearing on proposed Netflix-Warner Bros deal,138273981,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,Senate ‌judiciary committee said ⁠on ‌Tuesday that ‍its antitrust subcommittee ​will ‌next week hold a hearing ⁠regarding ​a ​proposed tie-up between ‍Netflix ⁠and Warner ⁠Brothers.,https://finnhub.io/api/news?id=7524e6a220881059fe91fffcaabfad07f7c9bfcd7165568ad07106dff10e348d
company,1769528713,Why Netflix Stock Is Down Today,138270961,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,Netflix Shares Fall. FCC Chair Raises Red Flags on Warner Bros. Tie-Up,https://finnhub.io/api/news?id=8a2b708c8fc376de16f38b5977d1114845fe5b5bb77ab4b0438f5cec00d63d79
company,1769527319,Why the Charts Say It’s Still Too Soon to Buy This Beaten-Down Mega-Cap Stock,138273982,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"With an expensive bidding war hanging like a cloud over Netflix stock, not to mention its 200-day moving average, investors need to wait for clear signs before diving into this name.",https://finnhub.io/api/news?id=e03009f482caa5b58751c9a3deadd5596a4b7ebefe4fb57a01ae7cf6e07ebb4a
company,1769521134,Needham Advises Buying Netflix (NFLX) Weakness Despite $275M Regulatory Costs,138270077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"Netflix Inc. (NASDAQ:NFLX) is one of the best US stocks to buy and hold in 2026. On January 21, Needham lowered the price target on Netflix to $120 from $150 but maintained a Buy rating. Following Q4 2025 results, the firm noted that the company’s 2026 guidance is distracted by $275 million in projected legal […]",https://finnhub.io/api/news?id=cec6b573b5d44b2ff1d32bf3fccccde373ab511f90020677504301cbd07cbfce
company,1769514600,Can Netflix Still Become a $1 Trillion Company by 2030?,138269265,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"The company is performing as expected, but its stock isn't moving in the right direction.",https://finnhub.io/api/news?id=524f9e7f0c42a65b41dfe5c003544f4fb4eabcf4eafc3317d6e07203129eadf2
company,1769510100,Netflix vs. Warner Bros. Discovery: Wall Street Sees Downside in 1 of These Media Stocks but Says Buy the Other,138269266,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"Ever since Netflix announced its intention to acquire certain assets from Warner Bros. Discovery, both stocks have been on an interesting path.",https://finnhub.io/api/news?id=f93b27c9b48de0dd48e0069df9e1fd1242d288b54c0027da8ca286d3eead6b55
company,1769491898,5 Must-Read Analyst Questions From Netflix’s Q4 Earnings Call,138268673,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NFLX,Yahoo,"Netflix’s fourth quarter was marked by robust revenue growth and operating margin expansion, but the market reacted negatively, with shares falling over 5%. Management pointed to continued subscriber momentum and a growing advertising business as key drivers of the quarter. Co-CEO Gregory Peters highlighted, “We delivered 16% revenue growth, roughly 30% operating profit growth, expanding margins, growing key free cash flow, Ad sales, two and a half times in 2025.” The company also emphasized pro",https://finnhub.io/api/news?id=6a24eee905f2d9e08b7c152656f3f5d4305d4e1669722aab1a6159f1eb1d0e2c
