category,datetime,headline,id,image,related,source,summary,url
company,1769546557,Union Pacific Q4 Earnings Call Highlights,138275401,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Union Pacific (NYSE:UNP) executives highlighted record full-year safety, service, and operating performance in 2025 while outlining a more muted macro backdrop for 2026 and providing updates on the company’s planned merger with Norfolk Southern during the company’s fourth-quarter earnings call on Ja",https://finnhub.io/api/news?id=2e0ceb963b4e689f209c57164aa6feae3f76896bde57f5fb9e398fc9e69eb488
company,1769545800,Norfolk Southern-served site in Alabama earns platinum REDI designation,138275451,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"A Norfolk Southern (NYSE: NSC) rail-served industrial development site in the Shoals region of northwest Alabama has received a platinum designation from the national REDI Sites Program. This top designation, awarded only to select properties that meet rigorous readiness criteria, signals to global site selection professionals that the location is primed for a fast-track development timeline.",https://finnhub.io/api/news?id=70722bd547f9fefaf1e839cdb6c68ed5d74dd11a8c3769213a04880c5481dfaa
company,1769544491,A Look At Norfolk Southern (NSC) Valuation As Recent Momentum Cools After Earlier Gains,138275452,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"How Norfolk Southern stock has been performing Norfolk Southern (NSC) has moved in a fairly mixed way recently, with a small 1 day gain of 0.30% contrasting with a slight 7 day decline of 0.82% and a modest dip over the past month. Over the past 3 months, the stock shows a 2.80% total return, while the year to date figure is close to flat at 0.15%. For longer term holders, the 1 year total return of 13.34% and the 3 year and 5 year total returns of 29.63% and 33.32% respectively provide a...",https://finnhub.io/api/news?id=98fba2ed043c1b8d7ddc2afa7dd8ae4e790e8f32a899b098910922d5fc397a01
company,1769541240,Norfolk Southern Declares Quarterly Dividend,138274125,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,Norfolk Southern Corporation (NYSE: NSC) announced today a quarterly dividend of $1.35 per share on its common stock.,https://finnhub.io/api/news?id=1c4b00ac0dd5b0b1d177ea6d74a8f98f98fc98772a5a99e8e135aef896874424
company,1769539670,Union Pacific reports record financial results,138274077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,Union Pacific today reported record financial and operational results for 2025 despite a drop in fourth-quarter operating income. The post Union Pacific reports record financial results appeared first on FreightWaves.,https://finnhub.io/api/news?id=208b4192b1aab69142c6910fd87ef8ee40a9263cc11f8a6559e9b1b1aea5ca10
company,1769527980,Union Pacific Profit Rises Despite Revenue Falling on Lower Volumes,138271063,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,Union Pacific posted a higher profit in the fourth quarter despite revenue falling slightly due to a headwind from lower volumes.,https://finnhub.io/api/news?id=fd7d53643901dfac6bfc5be7a52c08b85abf2cde3d76d9e6eed62dabe2174b3b
company,1769523307,Curious about Norfolk Southern (NSC) Q4 Performance? Explore Wall Street Estimates for Key Metrics,138271163,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Besides Wall Street's top-and-bottom-line estimates for Norfolk Southern (NSC), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended December 2025.",https://finnhub.io/api/news?id=fe992d0480533b655724a40930d98cce538f64e3351a51cca2423ed0fc27bfa8
company,1769522101,Union Pacific (UNP) Q4 Earnings and Revenues Miss Estimates,138271064,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Union Pacific (UNP) delivered earnings and revenue surprises of -1.47% and -0.82%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=7e91a723f8a86a6fb49abdefaed4bfd307ba16a029c097fdf3663a78fe9ff727
company,1769520860,First look: Union Pacific Q4 earnings,138270165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Pricing improved despite lower carload freight for UP, which is planning to merge with Norfolk Southern. The post First look: Union Pacific Q4 earnings appeared first on FreightWaves.",https://finnhub.io/api/news?id=8f5c1d7755195dbcea0c6a19020e33d103e99daa7e01bfd9039519e4f3dccca2
company,1769514996,IYT: The Largest Transportation ETF Is Also An Economic Indicator,138271627,,NSC,SeekingAlpha,,https://finnhub.io/api/news?id=d74855dcdee919862753229bada2f596a2d01417dd554ebc20b51326929c7a10
company,1769481181,Jim Cramer Highlights Union Pacific’s Merger,138266517,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Union Pacific Corporation (NYSE:UNP) is one of the stocks in focus as Jim Cramer shared his weekly game plan. While discussing the stock, Cramer highlighted that transports are being called the “hottest group” in the market. He commented: Hottest group in this market? Well, some would say it’s the transports, including the rails… I like […]",https://finnhub.io/api/news?id=d5cb3369a2bc2b0017c2b0a7ad1a643f4560ee2b21754b9b8a3d443dad4ffaea
