category,datetime,headline,id,image,related,source,summary,url
company,1769554914,PACCAR Inc (PCAR) Q4 2025 Earnings Call Highlights: Record Revenues and Strategic Advancements ...,138276466,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"PACCAR Inc (PCAR) reports robust financial performance with record revenues and strategic positioning, despite facing industry headwinds.",https://finnhub.io/api/news?id=85d9d52c1f2c98a0f1aef1cea4366e75951ce8fe061392a184781d5e20d76635
company,1769546132,Why Paccar Stock Dropped Today,138275453,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,Paccar's business is coating... downhill.,https://finnhub.io/api/news?id=d1996b73f7a1d5c0a9d73eaf7c0db713c87ba621a3d74f5b34c93a3e4b749b13
company,1769541875,PACCAR Q4 Earnings Call Highlights,138274127,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"PACCAR (NASDAQ:PCAR) reported fourth-quarter 2025 revenue of $6.8 billion and net income of $557 million, capping a full-year period the company described as its “fourth highest profit year” and its 87th consecutive year of profits. For 2025, PACCAR posted revenue of $28.4 billion and adjusted net i",https://finnhub.io/api/news?id=afbf94a1c756a364006e6d1ba30be84caf3cd959fff358b62771bfe71c39ab4a
company,1769538073,PACCAR (PCAR) Q4 2025 Earnings Call Transcript,138274128,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"Kevin D. Baney, Brice J. Poplawski, Ken Hastings, and I will update you on our very good fourth quarter and full year 2025 results, as well as other business highlights.  PACCAR's fourth quarter revenues were $6.8 billion, and net income was $557 million.  In 2025, PACCAR achieved annual revenues of $28.4 billion and adjusted net income of $2.64 billion, which is the fourth highest profit year in company history and the eighty-seventh consecutive year of profits.",https://finnhub.io/api/news?id=88e62feec34c3df44228c3581feb2760a4854c63bddc42a8af9386b25cbe032d
company,1769526003,Here's What Key Metrics Tell Us About Paccar (PCAR) Q4 Earnings,138272643,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"The headline numbers for Paccar (PCAR) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=9695261cd0ca19a831afdb7504148720be47a47386481ddaa2bcb68a2942dd54
company,1769524345,PACCAR Inc (PCAR) Q4 2025 Earnings Call Transcript,138273659,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PCAR,SeekingAlpha,"PACCAR Inc (PCAR) Q4 2025 Earnings Call January 27, 2026 12:00 PM ESTCompany ParticipantsKen Hastings - Senior Director of Investor RelationsR.",https://finnhub.io/api/news?id=c87db1cda4c613a58df79a5d4a6dd2cf9820510c4b176d9062810176b73ce90d
company,1769523008,Paccar (PCAR) Q4 Earnings Meet Estimates,138271165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"Paccar (PCAR) delivered earnings and revenue surprises of 0.00% and +2.81%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=9aef48fb3ebc4dd5a7b6cf496ab559019730f34abbb02ad931966c8fdf05ed91
company,1769519890,PACCAR (NASDAQ:PCAR) Reports Sales Below Analyst Estimates In Q4 CY2025 Earnings,138270231,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"Trucking company PACCAR (NASDAQ:PCAR) fell short of the markets revenue expectations in Q4 CY2025, with sales falling 20.9% year on year to $6.25 billion. Its GAAP profit of $1.06 per share was in line with analysts’ consensus estimates.",https://finnhub.io/api/news?id=18b0a0a740b55f48654069ed469a1ba68655425e13657bad7a78d80050ddd4ce
company,1769519859,Paccar: Q4 Earnings Snapshot,138270232,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"BELLEVUE, Wash. AP) — Paccar Inc. PCAR) on Tuesday reported fourth-quarter earnings of $556.9 million.",https://finnhub.io/api/news?id=b9d12fb514f3dbafc9e7e8fec56e0980db47acd77b8d53684b8aeb2db9ba3b6d
company,1769518800,PACCAR Achieves Very Good Annual Revenues and Net Income,138270233,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCAR,Yahoo,"BELLEVUE, Wash., January 27, 2026--""PACCAR reported very good annual revenues and net income in 2025,"" said Preston Feight, chief executive officer. ""PACCAR Parts and PACCAR Financial Services delivered record revenue and strong profits. Kenworth, Peterbilt and DAF’s premium quality trucks contributed to the very good results. I am very proud of our employees and dealers who delivered outstanding trucks and transportation solutions to our customers.""",https://finnhub.io/api/news?id=2520beb95ff068e05d2295f1d2644ae87d54164c9a51f99d1e0fb42be40b1e5f
