category,datetime,headline,id,image,related,source,summary,url
company,1769557678,Seagate Technology Q2 Earnings Call Highlights,138276456,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate Technology (NASDAQ:STX) reported fiscal second-quarter 2026 results that management said capped a “record-breaking” calendar 2025, with revenue and profitability exceeding expectations and demand remaining strong across data center markets. Executives highlighted record exabyte shipments and",https://finnhub.io/api/news?id=5989ae98a448db90863822112580e901fc0130cd14ac4abc14f6ae31e1e74e7b
company,1769551355,"Dow Jones Futures: Stock Market Hits Highs; Tesla, Meta, Microsoft, Fed's Powell On Tap",138275587,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Many stocks made bullish moves as the Nasdaq led and the S&P 500 hit a high, but Tesla, Microsoft, Meta and Fed's Powell loom.",https://finnhub.io/api/news?id=cb1025f52b2150d4161cf8fa27bf02ea79a287ea3a561a3d466fa51a802ecd5d
company,1769552103,Seagate (STX) Beats Q2 Earnings and Revenue Estimates,138276458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate (STX) delivered earnings and revenue surprises of +10.05% and +2.69%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=5d07efd07d6532417d3e7d3bd6df4aa32181bc98b39407698b40e89eeaf33237
company,1769551364,Seagate forecasts quarterly results above estimates on strong data storage demand,138276459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate Technology forecast third-quarter revenue and profit above Wall Street expectations on Tuesday, benefiting from strong ​demand for its data storage devices as enterprises scale up ‌their use of artificial intelligence. Tech firms are investing hundreds of billions of dollars ‌into data centers and related infrastructure to train and run large language models. This surge in demand is benefiting hardware suppliers such as Seagate, whose hard disk drives are used to store the vast ⁠quantities of data these models ‌require.",https://finnhub.io/api/news?id=3addfe0d4084f353194c02479a6df530c140e03489007bbfb9e52cdd14c91fe2
company,1769551171,Seagate Beats Earnings Expectations Amid Strong AI Data Storage Demand,138275432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,Seagate stock dipped despite fiscal Q2 results ahead of expectations for the red-hot hard-disk drive stock.,https://finnhub.io/api/news?id=fdb77f47102e7e826b725e098394dfb4edbc774b4d7ef91a589d5289b0318d94
company,1769550268,"Seagate reports strong results, offers robust guidance on surging AI demand",138275433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Investing.com -- Seagate Technology (NASDAQ:STX) reported second-quarter adjusted earnings that exceeded analyst expectations, while shares traded around 1% lower in after-hours trade.",https://finnhub.io/api/news?id=46596da2be155699c6054bc11719daf76a191f21ef39439526a2a85a32c96e12
company,1769549246,Seagate Technology Holdings plc 2026 Q2 - Results - Earnings Call Presentation,138277325,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,STX,SeekingAlpha,2026-01-27. The following slide deck was published by Seagate Technology Holdings plc in conjunction with their 2026 Q2 earnings call.,https://finnhub.io/api/news?id=cd8375c413e8a52fa6af5c194f17ab46156ffc0d3dd125de90d3fed034e8cb23
company,1769548942,Seagate Technology Holdings plc (STX) Q2 2026 Earnings Call Transcript,138277293,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,STX,SeekingAlpha,"Seagate Technology Holdings plc (STX) Q2 2026 Earnings Call January 27, 2026 5:00 PM ESTCompany ParticipantsShanye Hudson - Senior Vice President of...",https://finnhub.io/api/news?id=abb37ef07ca990b8e43cd84f8d63bdc587e4d1f5604539449d8c6ef07115a703
company,1769548903,Seagate Technology (NASDAQ:STX) Posts Better-Than-Expected Sales In Q4,138275434,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Data storage manufacturer Seagate (NASDAQ:STX) beat Wall Street’s revenue expectations in Q4 CY2025, with sales up 21.5% year on year to $2.83 billion. On top of that, next quarter’s revenue guidance ($2.9 billion at the midpoint) was surprisingly good and 4% above what analysts were expecting. Its non-GAAP profit of $3.11 per share was 9.6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=c5d7f5f4c1f7922fd81d251ce29286db0872c922fbbf6027c6017bc27dd7becf
company,1769548740,Seagate: Fiscal Q2 Earnings Snapshot,138275435,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"SINGAPORE (AP) — Seagate Technology Holdings plc (STX) on Tuesday reported fiscal second-quarter earnings of $593 million. The Singapore-based company said it had net income of $2.60 per share. Earnings, adjusted for one-time gains and costs, came to $3.11 per share.",https://finnhub.io/api/news?id=ca36053ffa5bfeca7cd528dbc26ed5767d3efbddfd64bc96d0827d0c83d8534b
company,1769547900,Seagate Technology Reports Fiscal Second Quarter 2026 Financial Results,138275289,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"SINGAPORE, January 27, 2026--Seagate Technology Holdings plc (NASDAQ: STX) (the ""Company"" or ""Seagate""), a leading innovator of mass-capacity data storage, today reported financial results for its fiscal second quarter ended January 2, 2026.",https://finnhub.io/api/news?id=0720d4d871456c900ffdc5bc0d1bb7950f141c5dd405e5527eb70e0d0a9aa56e
company,1769540299,Miss the rally in memory stocks? Cramer sees an even better way to play the memory shortage,138282768,https://image.cnbcfm.com/api/v1/image/108166439-1751384571596-gettyimages-2147904143-MICRON_TECHNOLOGY_HEADQUARTERS.jpeg?v=1769555941&w=1920&h=1080,STX,CNBC,"Cramer says avoid buying Micron, Western Digital, Seagate and Sandisk stocks right now.",https://finnhub.io/api/news?id=b8faf35052a98e3e16b3e2184e5622a0c01054f4a65913f95b955180c7da64fd
company,1769537012,"S&P 500 touches 7,000 for first time then retreats as traders await Fed decision: Live updates",138282427,https://image.cnbcfm.com/api/v1/image/108257698-1769534842387-Traders-Photo-20260127-KK-PRESS-014.jpg?v=1769535031&w=1920&h=1080,STX,CNBC,The S&P 500 rose to a milestone level ahead of the Federal Reserve's interest rate decision and earnings reports from major tech companies.,https://finnhub.io/api/news?id=45308eb86f00b0ebf962d353c054bf7b786018c30d16a252ea5f007b227c0595
company,1769536920,Should Sandisk Stock Be in Your Portfolio Pre-Q2 Earnings?,138273963,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"SNDK eyes fiscal Q2 gains as BiCS8 tech, edge growth, and AI-driven SSD demand fuel momentum ahead of earnings.",https://finnhub.io/api/news?id=ab258691732e75e56c17fe4b80013942abebcb6bfc3dfca1ecd5bb276f4f7ffc
company,1769536061,"Seagate (STX) is Facing a Shortage That Can’t Be Met, Says Jim Cramer",138272610,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,We recently published 13 Stocks Jim Cramer Commented On. Seagate Technology Holdings plc (NASDAQ:STX) is one of the stocks Jim Cramer commanded on. Storage devices manufacturer Seagate Technology Holdings plc (NASDAQ:STX)’s shares are among the top performers in the market. The shares are up by 256% over the past year and by 28% year-to-date. Several […],https://finnhub.io/api/news?id=9650bd8778d9e28bc3d21c181be47270f43a6f509369146d870b4fa659641bfa
company,1769534535,"Stocks making the biggest moves after hours: Texas Instruments, Seagate Technology, Qorvo and more",138283093,https://image.cnbcfm.com/api/v1/image/108243235-1766004043638-gettyimages-2251789238-TI_WAFER_PLANT.jpeg?v=1766004250&w=1920&h=1080,STX,CNBC,These are some of the stocks posting the largest moves in extended trading. ,https://finnhub.io/api/news?id=bc37bb35713bbb7e58ca677bf4061e558f7b849b5465e9f9c33c6f0969abbb2d
company,1769526605,? The Risks Behind the AI Data Center Funding Boom,138271126,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"WSJ’s Take On the Week co-hosts Telis Demos and Miriam Gottfried dive into the companies they are watching this peak week in earnings season:    Our hosts highlight some rising and not-so-rising stars in the artificial-intelligence story: Seagate Technology and Meta Platforms, which are due to post earnings on Tuesday and Wednesday, respectively.",https://finnhub.io/api/news?id=2a783442770520eb6bb298ef1c2904d3fc6f3562b2cbaef9656a2abe9eac96f2
company,1769523002,Seagate Stock Just Hit a New All-Time High Ahead of Earnings. Should You Chase the AI Frenzy Higher?,138272611,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate Technology (STX) is trading at new all-time highs on Tuesday. Shares are up more than 230% over the past 52 weeks. STX maintains a 100% “Buy” technical opinion from Barchart. Seagate has benefitted massively from AI-driven demand for memory and storage products. Today’s Featured Stock Valued at $76.5 billion,...",https://finnhub.io/api/news?id=0a5f0a8e68dd189327f6b69c423c07dde41b34a8dca50658e36c9f8f07ed6666
company,1769522880,Western Digital's Q2 Earnings on Deck: Is the Stock Worth Buying Now?,138271111,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"WDC sees fiscal Q2 2026 non-GAAP revenue of $2.9B, up 20% year over year, as data center demand and high-capacity drives support growth momentum.",https://finnhub.io/api/news?id=6b51be7dbc22e18418cbf2ecca1af6c5322d52c1537adbd8d2f971a2f5c78ee8
company,1769513896,Three Stocks Estimated To Be Trading Below Intrinsic Value In January 2026,138269472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"As the U.S. stock market kicks off a week dominated by major tech earnings and geopolitical tensions, indices like the S&P 500 and Dow are nearing record highs despite recent fluctuations. In this environment, identifying stocks that are trading below their intrinsic value can provide opportunities for investors seeking to capitalize on potential market inefficiencies and long-term growth prospects.",https://finnhub.io/api/news?id=d1024887a1ceda2b3f9002305e643ce72ada9013acf576214a86f2ab81a54f79
company,1769481183,Jim Cramer Says Seagate Needs a “Massive Beat and Raise” to “Keep It Running”,138266540,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate Technology Holdings plc (NASDAQ:STX) is one of the stocks in focus as Jim Cramer shared his weekly game plan. Cramer highlighted the stock’s surge due to an increase in demand, as he commented: After the close, we have our first big shortage stock, and that’s Seagate. This maker of storage and memory chips has […]",https://finnhub.io/api/news?id=ac9104f0b0ac166e9901d7ea7437c47cbb33dfd3e70247ab991fc4dee1ee6a4f
