category,datetime,headline,id,image,related,source,summary,url
company,1769547773,Union Pacific Corp (UNP) Q4 2025 Earnings Call Highlights: Record Net Income and Strategic ...,138275400,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,Union Pacific Corp (UNP) reports a record full-year net income of $7.1 billion and outlines strategic initiatives for continued growth amidst market challenges.,https://finnhub.io/api/news?id=8048584725bbde43226a2092bab4a7036434fb2caedb5f5fd40f1c894f6708c6
company,1769546557,Union Pacific Q4 Earnings Call Highlights,138275401,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Union Pacific (NYSE:UNP) executives highlighted record full-year safety, service, and operating performance in 2025 while outlining a more muted macro backdrop for 2026 and providing updates on the company’s planned merger with Norfolk Southern during the company’s fourth-quarter earnings call on Ja",https://finnhub.io/api/news?id=2e0ceb963b4e689f209c57164aa6feae3f76896bde57f5fb9e398fc9e69eb488
company,1769541300,"Union Pacific's Q4 Earnings & Revenues Lag Estimates, Down Y/Y",138275402,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"UNP's fourth-quarter 2025 revenues are hurt by lower volume, partially offset by core pricing gains and fuel surcharge revenue.",https://finnhub.io/api/news?id=7cc58b162ffcd3b221a3b716450ced41972f041357122ea175dcccbc266ae60a
company,1769539670,Union Pacific reports record financial results,138274077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,Union Pacific today reported record financial and operational results for 2025 despite a drop in fourth-quarter operating income. The post Union Pacific reports record financial results appeared first on FreightWaves.,https://finnhub.io/api/news?id=208b4192b1aab69142c6910fd87ef8ee40a9263cc11f8a6559e9b1b1aea5ca10
company,1769527980,Union Pacific Profit Rises Despite Revenue Falling on Lower Volumes,138271063,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,Union Pacific posted a higher profit in the fourth quarter despite revenue falling slightly due to a headwind from lower volumes.,https://finnhub.io/api/news?id=fd7d53643901dfac6bfc5be7a52c08b85abf2cde3d76d9e6eed62dabe2174b3b
company,1769526742,Union Pacific Corporation (UNP) Q4 2025 Earnings Call Transcript,138274390,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,UNP,SeekingAlpha,"Union Pacific Corporation (UNP) Q4 2025 Earnings Call January 27, 2026 8:45 AM ESTCompany ParticipantsVincenzo Vena - CEO & DirectorEric Gehringer -...",https://finnhub.io/api/news?id=644fc2d86796ea86a640f3409b8ed841ab4f61daee69364b8f442eba62a3144b
company,1769526001,"Compared to Estimates, Union Pacific (UNP) Q4 Earnings: A Look at Key Metrics",138272560,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Although the revenue and EPS for Union Pacific (UNP) give a sense of how its business performed in the quarter ended December 2025, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=f03ff8f8046e12d615bf0a0e9c1a39e0d7a1117257eeff5b1829ee77dea60591
company,1769522101,Union Pacific (UNP) Q4 Earnings and Revenues Miss Estimates,138271064,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Union Pacific (UNP) delivered earnings and revenue surprises of -1.47% and -0.82%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=7e91a723f8a86a6fb49abdefaed4bfd307ba16a029c097fdf3663a78fe9ff727
company,1769521356,Union Pacific (NYSE:UNP) Posts Q4 CY2025 Sales In Line With Estimates,138270164,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Freight transportation company Union Pacific (NYSE:UNP) fell short of the markets revenue expectations in Q4 CY2025, with sales flat year on year at $6.09 billion. Its non-GAAP profit of $2.86 per share was in line with analysts’ consensus estimates.",https://finnhub.io/api/news?id=7719b69fe886a87dc2967b48b35195a41a6dc629a69b976b4a9c55f85eb951b0
company,1769520860,First look: Union Pacific Q4 earnings,138270165,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Pricing improved despite lower carload freight for UP, which is planning to merge with Norfolk Southern. The post First look: Union Pacific Q4 earnings appeared first on FreightWaves.",https://finnhub.io/api/news?id=8f5c1d7755195dbcea0c6a19020e33d103e99daa7e01bfd9039519e4f3dccca2
