category,datetime,headline,id,image,related,source,summary,url
company,1769551171,Seagate Beats Earnings Expectations Amid Strong AI Data Storage Demand,138275432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,Seagate stock dipped despite fiscal Q2 results ahead of expectations for the red-hot hard-disk drive stock.,https://finnhub.io/api/news?id=fdb77f47102e7e826b725e098394dfb4edbc774b4d7ef91a589d5289b0318d94
company,1769550268,"Seagate reports strong results, offers robust guidance on surging AI demand",138275433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Investing.com -- Seagate Technology (NASDAQ:STX) reported second-quarter adjusted earnings that exceeded analyst expectations, while shares traded around 1% lower in after-hours trade.",https://finnhub.io/api/news?id=46596da2be155699c6054bc11719daf76a191f21ef39439526a2a85a32c96e12
company,1769540299,Miss the rally in memory stocks? Cramer sees an even better way to play the memory shortage,138282768,https://image.cnbcfm.com/api/v1/image/108166439-1751384571596-gettyimages-2147904143-MICRON_TECHNOLOGY_HEADQUARTERS.jpeg?v=1769555941&w=1920&h=1080,WDC,CNBC,"Cramer says avoid buying Micron, Western Digital, Seagate and Sandisk stocks right now.",https://finnhub.io/api/news?id=b8faf35052a98e3e16b3e2184e5622a0c01054f4a65913f95b955180c7da64fd
company,1769536920,Should Sandisk Stock Be in Your Portfolio Pre-Q2 Earnings?,138273963,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"SNDK eyes fiscal Q2 gains as BiCS8 tech, edge growth, and AI-driven SSD demand fuel momentum ahead of earnings.",https://finnhub.io/api/news?id=ab258691732e75e56c17fe4b80013942abebcb6bfc3dfca1ecd5bb276f4f7ffc
company,1769536096,"Western Digital (WDC) is Facing a Shortage That Can’t Be Met, Says Jim Cramer",138272593,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"We recently published 13 Stocks Jim Cramer Commented On. Western Digital Corporation (NASDAQ:WDC) is one of the stocks Jim Cramer commanded on. Western Digital Corporation (NASDAQ:WDC) is a computer memory storage manufacturer. The strong movement in the firm’s shares, with the stock up by 404% over the year, has also stimulated plenty of analyst coverage. […]",https://finnhub.io/api/news?id=0a9a0f1eda5af8b23d172055d30b02ccbce79a4c721e71b653e74711c2849aff
company,1769530856,SanDisk and Western Digital are up 400% in 1 Year. Should You Still Buy?,138272455,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"SanDisk (NASDAQ:SNDK) and Western Digital (NASDAQ:WDC) have seen explosive growth over the past year. The cause is pretty obvious: data centers. They require massive amounts of storage hardware, and both of these companies produce plenty. Unfortunately, all that production is not enough to meet demand. Hyperscalers alone are investing to the tune of $400 billion ... SanDisk and Western Digital are up 400% in 1 Year. Should You Still Buy?",https://finnhub.io/api/news?id=dcf2c71d25dbd1d9d3297f4c37af0220ec3c752203b4ae5e1782ce04ef1480cb
company,1769524800,Western Digital vs. Micron: Which Data Storage Stock Has More Upside?,138272456,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Micron edges out Western Digital as AI-driven memory demand, tight supply and a cheaper valuation make MU the more attractive pick now.",https://finnhub.io/api/news?id=b4cee2ca8b0c03bbd54169bf1c68b6cd0c9daac79dea5bc8f893ab0ffd61733f
company,1769522880,Western Digital's Q2 Earnings on Deck: Is the Stock Worth Buying Now?,138271111,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"WDC sees fiscal Q2 2026 non-GAAP revenue of $2.9B, up 20% year over year, as data center demand and high-capacity drives support growth momentum.",https://finnhub.io/api/news?id=6b51be7dbc22e18418cbf2ecca1af6c5322d52c1537adbd8d2f971a2f5c78ee8
company,1769514360,"Tradr Debuts Leveraged ETFs on Lumentum, Sandisk and Western Digital",138269325,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Tradr ETFs, a provider of ETFs designed for sophisticated investors and professional traders, today launched three new leveraged ETFs on single stocks. The Cboe-listed funds seek to deliver twice (200%) the daily performance of a specific underlying stock. All three ETFs are first-to-market strategies.",https://finnhub.io/api/news?id=91beaa5492e4a853b39f2b554a7b78fe16510dd9bfbbc479974ff29e21174122
company,1769481273,Jim Cramer Expects Western Digital’s Quarter to Be “Very Positive”,138266450,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Western Digital Corporation (NASDAQ:WDC) is one of the stocks in focus as Jim Cramer shared his weekly game plan. Cramer mentioned the stock during his game plan, as he commented: Sandisk and Western Digital report at the same time. These are our storage plays. They’ll be very positive. I don’t think they’ll get the same […]",https://finnhub.io/api/news?id=0a75c47ad28f0f16dc92d6c1c11ae87a25bd6665c8e5b26ae14b4c0d51c8bcc8
company,1769481203,"Jim Cramer Says Sandisk Is “Up Huge, Way Too Much for Me”",138266451,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Sandisk Corporation (NASDAQ:SNDK) is one of the stocks in focus as Jim Cramer shared his weekly game plan. Cramer noted that the stock has run up significantly, as he said: Sandisk and Western Digital report at the same time. These are our storage plays. They’ll be very positive. I don’t think they’ll get the same […]",https://finnhub.io/api/news?id=d4a61386237748fa9056809423f333b48b58db81fc6b4e28ea33692c908bd681
